小时,历史平均里程,实际日里程,差值
1,26.310338957579916,16.398587419123956,-9.91175153845596
2,26.438972198921125,22.94018691694528,-3.498785281975845
3,25.06744763935765,26.098718745822097,1.0312711064644482
4,26.336086050718304,24.301455013685707,-2.0346310370325966
5,23.67051174171843,29.698467114284,6.027955372565572
6,27.900363120100103,27.908211158194018,0.007848038093914766
7,29.268937403995846,29.13438807509439,-0.134549328901457
8,27.899829353564446,29.58434677724842,1.6845174236839746
9,26.910465718919536,29.863380702397567,2.9529149834780313
10,23.7854458972906,31.69845724782723,7.913011350536628
11,21.86044096050838,24.063656683099623,2.203215722591242
12,24.339446334381535,28.225122215117615,3.8856758807360805
13,23.026178068960878,30.404893665769386,7.378715596808508
14,24.223885817977287,26.767769653273355,2.543883835296068
15,23.25920950583996,25.739932760134977,2.480723254295018
16,22.290363445532428,28.851684673434104,6.561321227901676
17,24.508162580135537,25.849536720026062,1.341374139890526
18,23.316572794111604,28.2960517566597,4.979478962548097
19,24.96138294820521,24.477919736635695,-0.48346321156951433
20,26.373107784485192,33.19279050365023,6.819682719165037
21,24.342123280634897,25.75309349221592,1.4109702115810236
22,22.005725309149597,33.41500426209086,11.409278952941264
23,22.605822821291934,32.33109055943013,9.725267738138196
24,23.24167919178149,30.427190219972196,7.185511028190707
