时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,0.0,0.0,0.0,0.0
1,ES,0.0,1.0,0.0,1.0
1,EV,0.0,0.0,0.0,0.0
2,PV,0.0,0.0,0.0,0.0
2,ES,0.0,1.0,0.0,1.0
2,EV,0.0,0.0,0.0,0.0
3,PV,0.0,0.0,0.0,0.0
3,ES,-0.1666666666666668,0.8333333333333333,-0.09090909090909098,0.9090909090909091
3,EV,0.0,0.0,0.0,0.0
4,PV,0.0,0.0,0.0,0.0
4,ES,0.0,0.0,0.0,0.0
4,EV,0.0,0.0,0.0,0.0
5,PV,0.0,0.0,0.0,0.0
5,ES,-0.2857142857142858,0.7142857142857142,-0.17118477076636396,0.828815229233636
5,EV,0.0,0.0,0.0,0.0
6,PV,0.018749999999999996,0.0,0.018749999999999996,0.0
6,ES,-0.3333333333333333,0.6666666666666667,-0.2857142857142858,0.7142857142857142
6,EV,0.0,0.0,0.0,0.0
7,PV,0.10625000000000001,0.10625000000000001,0.10625000000000001,0.10625000000000001
7,ES,-0.23076923076923078,0.7692307692307692,-0.22717734071772056,0.7728226592822794
7,EV,0.0,0.0,0.0,0.0
8,PV,0.3656249999999999,0.3656249999999999,0.3656249999999999,0.3656249999999999
8,ES,-0.2857142857142858,0.7142857142857142,-0.14195413431948123,0.8580458656805188
8,EV,-0.23470588235294115,0.2812941176470588,-0.23470588235294115,0.2812941176470588
9,PV,0.61875,0.61875,0.61875,0.61875
9,ES,-0.2857142857142858,0.7142857142857142,-0.1785610701137148,0.8214389298862852
9,EV,-0.5593620898103877,0.5106379101896121,-0.577887359588631,0.492112640411369
10,PV,0.953125,0.953125,0.953125,0.953125
10,ES,-0.09090909090909098,0.9090909090909091,0.0,1.0
10,EV,-0.5562354018530489,1.024764598146951,-0.5529424553652047,1.0280575446347953
11,PV,1.0375,1.0375,1.0375,1.0375
11,ES,-0.23076923076923078,0.7692307692307692,-0.1666666666666668,0.8333333333333333
11,EV,-0.6763352607782604,0.9046647392217396,-0.6912843154180459,0.889715684581954
12,PV,1.21875,1.21875,1.21875,1.21875
12,ES,-0.1932382857913858,0.8067617142086142,-0.1992331230829667,0.8007668769170333
12,EV,-0.6434459064327486,0.9375540935672514,-0.616754461289639,0.964245538710361
13,PV,1.1906249999999998,1.1906249999999998,1.1906249999999998,1.1906249999999998
13,ES,-0.09090909090909098,0.9090909090909091,-0.09090909090909098,0.9090909090909091
13,EV,-0.5268818309804526,1.0541181690195474,-0.4652364962063679,1.115763503793632
14,PV,2.03125,0.0,2.03125,0.0
14,ES,-0.12268890300366342,0.8773110969963366,-0.1467627573071948,0.8532372426928052
14,EV,-0.6184034866772881,0.9625965133227119,-0.47427894626163347,1.1067210537383665
15,PV,1.6437499999999998,0.0,1.6437499999999998,0.0
15,ES,0.0,0.0,0.0,0.0
15,EV,-0.4810532728614606,0.3037263442350474,-0.40043537351848457,0.3225646264815153
16,PV,0.9937499999999999,0.0,0.9937499999999999,0.0
16,ES,0.0,0.0,0.0,0.0
16,EV,-0.5757735760971057,1.0052264239028943,-0.43266092678950296,1.1483390732104972
17,PV,0.6125,0.0,0.6125,0.0
17,ES,0.0,1.0,0.0,1.0
17,EV,0.0,1.5810000000000002,0.015324034308082981,1.557808696502023
18,PV,0.29375000000000007,0.0,0.29375000000000007,0.0
18,ES,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667
18,EV,-0.013981309310517028,0.9248248964202312,0.0031447013329754673,1.038418529207738
19,PV,0.0625,0.0,0.0625,0.0
19,ES,0.0,1.0,0.0,1.0
19,EV,0.0,0.0,0.0,0.0
20,PV,0.0,0.0,0.0,0.0
20,ES,0.0,0.0,0.0,0.0
20,EV,0.0,0.0,0.0,0.0
21,PV,0.0,0.0,0.0,0.0
21,ES,0.0,0.0,0.0,0.0
21,EV,0.0,0.0,0.0,0.0
22,PV,0.0,0.0,0.0,0.0
22,ES,0.0,0.0,0.028254473037436712,0.09418157679145572
22,EV,0.0,0.0,0.0,0.0
23,PV,0.0,0.0,0.0,0.0
23,ES,-0.01827792863799582,0.9817220713620042,0.012931002258309343,0.9870689977416907
23,EV,0.0,0.0,0.0,0.0
24,PV,0.0,0.0,0.0,0.0
24,ES,-0.09090909090909098,0.9090909090909091,0.0,1.0
24,EV,0.0,0.0,0.0,0.0
