时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,-0.0,-0.0,-0.0,-0.0
1,ES,1.1740361934615155e-13,-0.9999999999997029,1.1740361934615155e-13,-0.9999999999997029
1,EV,0.0,0.0,0.0,0.0
2,PV,-0.0,-0.0,-0.0,-0.0
2,ES,2.5050116034147003e-13,-0.9999999999995929,4.651059174490141e-11,-0.9999999999178267
2,EV,0.0,0.0,0.0,0.0
3,PV,-0.0,-0.0,-0.0,-0.0
3,ES,4.34472789892679e-13,-0.9999999999993145,4.983146259791374e-11,-0.9999999999139331
3,EV,0.0,0.0,0.0,0.0
4,PV,-0.0,-0.0,-0.0,-0.0
4,ES,-0.6645035848514055,-0.3354964151142057,-0.805718511326353,-0.1942814886600918
4,EV,0.0,0.0,0.0,0.0
5,PV,-0.0,-0.0,-0.0,-0.0
5,ES,4.432015345128705e-12,-0.9999999999952317,3.771228409756592e-10,-0.9999999995140287
5,EV,0.0,0.0,0.0,0.0
6,PV,1.0233129123492084e-10,-6.626013626664928e-11,6.137063079947325e-11,-2.6334739944289254e-11
6,ES,-6.254314891783819e-13,-0.9999999999859369,-0.33141498572016437,-0.6685850142757022
6,EV,0.0,0.0,0.0,0.0
7,PV,1.727720744248984e-11,-1.4322459884752448e-11,1.5541365267722042e-10,-1.419207806829803e-10
7,ES,0.20604224446411926,-0.7939577555356168,4.3227851638586453e-10,-0.9999999995501718
7,EV,0.0,0.0,0.0,0.0
8,PV,4.611495139701901e-12,-3.300359985303203e-12,7.427123745914532e-12,-5.3052007231713105e-12
8,ES,6.259306305814123e-12,-0.999999999993448,5.296432518449328e-10,-0.9999999993703642
8,EV,1.2585556336290477e-12,-0.8799999999986404,1.3362643247909505e-11,-0.8799999999856009
9,PV,2.606184153690958e-12,-1.2504441926353138e-12,6.025046545114635e-12,-2.9166669079927487e-12
9,ES,5.1231292686285656e-12,-0.9999999999932114,6.670743440760852e-11,-0.999999999811741
9,EV,3.41991502742588e-12,-1.7599999999963447,1.3501774467853544e-12,-1.7599999999985005
10,PV,1.5662054986265161e-12,2.1949109196839345e-13,2.668515408643657e-11,3.65019126036259e-12
10,ES,0.004211164618134852,-0.9957888353807863,3.639546997113996e-11,-0.9999999999501467
10,EV,-0.36235294111408684,-1.2423529411074339,-0.941293640543714,-1.5279603063054084
11,PV,1.546915373573654e-12,1.0640099912251344e-13,1.1029677171592311e-11,9.450495941365489e-13
11,ES,0.37499999982895715,0.6249999997585558,0.16666666823421344,0.8333333313489685
11,EV,-0.048351628240115324,-0.04835162825161554,-5.2729695609876615e-11,-4.970740485887859e-11
12,PV,1.4761802891172238e-12,-4.235500838944972e-14,8.144471208559878e-12,-1.0269562977782698e-13
12,ES,0.23076923558113038,-0.7692307644174046,1.6814397096887035e-12,-0.9999999999953275
12,EV,0.5447619131766864,-1.2152380867183254,-0.25142857144847447,-0.6285714285842343
13,PV,1.5535350783579815e-12,1.2284617767477357e-13,7.09883540839229e-13,-1.0660916593963066e-13
13,ES,0.8867847449118685,-0.11321525507586094,0.43338105275049627,-0.43338105274581407
13,EV,0.06989240246716805,-1.6901075963838572,-0.3410444368163383,1.4189555626847938
14,PV,1.6142226444415542e-12,1.109667913112844e-13,3.630429290524262e-14,-1.0241807402167069e-14
14,ES,-0.4999999999540874,-0.5000000000297478,-0.10809727548818018,0.10809727548561596
14,EV,2.950225341802337e-10,-1.7599999996648292,-1.089304631625256,-1.187082409410844
15,PV,1.6353446374850478e-12,2.285671651947041e-13,1.546064665181035e-11,3.751499111359635e-12
15,ES,0.421508673478806,-0.5784913265149851,0.054141249589227905,0.13876396477785147
15,EV,-0.31366130436261147,-0.31366130434677875,0.32213940577178873,-2.1498317134075315
16,PV,2.0513590825999017e-12,2.64177568709556e-13,1.2806700144807337e-12,2.660094367001875e-13
16,ES,0.04801885423433594,-0.9519811457599753,-0.6144495517194367,-0.38555044826981444
16,EV,-1.9872451589885864,-0.6527548410059707,-0.47699975573087083,-2.1630002442348846
17,PV,0.3062499999989342,0.3062499999988033,1.153671602693862e-11,1.1388612275453625e-11
17,ES,-1.264266469291897e-14,-0.9999999999992392,1.9111934257409757e-11,-0.9999999997734726
17,EV,-1.0541484352089014e-11,-2.639999999987972,-1.8804615562317575,-0.7595384434729822
18,PV,5.164424443648841e-12,2.7156067976903067e-12,5.518835388684806e-12,4.654887586497125e-12
18,ES,-0.9999999998337136,-1.6417258166993862e-10,-0.4499933072583791,-0.550006692739949
18,EV,-1.759999999984261,-1.4455954207016836e-11,-0.7428662585293905,-1.017133741385298
19,PV,0.03124999999766348,0.03124999999643918,0.062499999838409134,1.5980464174170095e-10
19,ES,3.972603496160687e-14,-0.9999999999997466,8.717328942031699e-12,0.9999999999738838
19,EV,0.0,0.0,0.0,0.0
20,PV,-0.0,-0.0,-0.0,-0.0
20,ES,5.622538373549734e-12,-0.9999999999880013,-1.1044604195418598e-10,7.7706831762096e-10
20,EV,0.0,0.0,0.0,0.0
21,PV,-0.0,-0.0,-0.0,-0.0
21,ES,0.18935126317069945,-0.8106487368159809,-3.1618848027988377e-12,3.76919642197146e-12
21,EV,0.0,0.0,0.0,0.0
22,PV,-0.0,-0.0,-0.0,-0.0
22,ES,1.6250868765929962e-11,-0.9999999999820107,-1.886210950726439e-07,4.828807941451604e-07
22,EV,0.0,0.0,0.0,0.0
23,PV,-0.0,-0.0,-0.0,-0.0
23,ES,3.591976077168657e-13,-0.9999999999993778,-0.09090908853486124,0.90909091146263
23,EV,0.0,0.0,0.0,0.0
24,PV,-0.0,-0.0,-0.0,-0.0
24,ES,3.1892892558814785e-13,-0.9999999999994872,-0.0794827402214902,0.9205172596886394
24,EV,0.0,0.0,0.0,0.0
