时段,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率,日前利润,实际利润,日前能量费用,日前容量收益,日前里程收益,实际能量费用,实际容量收益,实际里程收益,实际里程,实际能量,实际成本,修正次数
1,-0.00011471045657763145,1.000053265634212,-0.00011471045657763145,1.000053265634212,141.08290038075972,112.86909228230357,-0.008915296685213516,23.81406840389436,117.27774727355057,-29.35678617482294,23.81406840389436,118.41181005323214,25.768138188147873,-0.3777249893826935,60.48481347548616,2.0
2,-8.982155174520645e-05,1.0000427082909151,-6.770676553792595e-10,-1.1839556675707448e-10,133.83784692751283,-3.293779200863142e-08,-0.005456659268521292,32.67019522861425,101.1731083581671,-4.1031932791625946e-08,-3.867841091273515e-09,1.1961981874268041e-08,3.0543933780355135e-09,-6.754227620020731e-10,0.0,2.0
3,-0.1645014782657457,0.8356476268098558,-0.0488861422438345,0.9511194138791255,70.91986198449598,89.11969112555812,-9.277883374188058,24.010496131602224,56.187249227081814,-4.247004208875512,27.328323895106134,66.0383714393275,25.325345696934924,-0.07530149306516866,32.8928057581132,2.0
4,1.9064234713466723e-05,-1.8081430137611366e-06,-2.534829010996373e-09,4.1976254642471656e-11,0.0010098591713225108,-1.362974407700733e-07,0.001028896747485799,-1.9037576163288253e-05,-0.0,-1.3673940035995296e-07,4.4195958987965554e-10,0.0,1.2806311965917093e-09,-2.5336186837123023e-09,0.0,2.0
5,-0.28543835827820835,0.7145713949314719,-0.23081902494908393,0.7691818882524671,43.85171064156597,55.013729421918086,-14.934134905115862,8.149372347779666,50.636473198902166,-8.291973803065748,8.772180995488556,54.533522229495276,18.9795363589679,-0.1584857378261802,25.307218803881803,2.0
6,-0.27205871485317407,0.5819254046685235,-0.0050832514033156235,0.04767353238271713,10.46486292089834,1.6777615168388145,-13.573009284024854,14.676112151707787,9.361760053215407,-0.2658538026586225,1.2023226728095355,0.7412926466879015,1.2768579417939603,-0.005328799411878584,2.982275344622694,2.0
7,-0.1249685041390845,0.87495981438479,-4.7399487857723495e-09,-7.58376215731851e-10,68.77197914467996,-1.8225579086147766e-07,-5.944751741896249,15.66087071928078,59.055860167295435,-2.2587512456491645e-07,-1.3574145550335771e-08,5.7193479253774564e-08,2.4117615985972474e-08,-4.748268332245458e-09,0.0,2.0
8,-0.28214396012208187,1.597750313225769,-0.23758112574153112,1.6423599969765275,128.1159495594734,147.87106654011237,-14.203126952545603,36.28605999358273,106.03301651843626,-9.067198989529405,37.29917803053476,119.639087499107,50.44997448769819,-0.18011916943840692,31.916874897509143,2.0
9,-0.49634647383701636,2.26335142653955,-0.4157427971620207,-0.028606684057668245,111.77850913828223,-23.85478363309604,-29.72619031809891,42.092904490211936,99.41179496616921,-24.83403318575017,-0.5320156674308909,1.5112652200850187,0.9480485421591255,-0.41466076449741474,0.0,2.0
10,0.16332060310757474,3.803194889292131,0.2565141991217532,3.89679399135019,423.94408166954076,369.9538254856937,11.902805554480047,159.9851962129628,252.05607990209793,-49.60722704497909,163.9225360401371,255.6385164905357,94.47099648578555,-0.6806699649420842,76.46290077781853,2.0
11,-0.0453810501048334,3.594402493516534,-0.4116684520588039,0.016536829091350458,289.51977742239205,-28.799510542961222,-3.3790729908058945,119.26400004807549,173.63485036512247,-30.39927962602564,0.548699926928972,1.0510691561354433,0.5062368301041514,-0.4082632235566162,0.0,2.0
12,0.03511256914039684,3.674917954842384,0.19233425407872862,3.8322896272177402,347.76392113414647,415.6163588925567,2.67382214004122,176.39429787181612,168.69580112228917,22.208038399127478,183.94806260743047,209.4602578859988,115.06276526367765,0.29163543531355846,62.38722949248369,2.0
13,0.5199792822685892,4.159977243298335,-0.08289843934985368,0.00041925278783494827,447.88719768050555,-6.022130736130007,47.67170059838426,155.05865896852268,245.1568381135986,-6.069482113482385,0.015627194873536834,0.03172418247884036,0.01279365985886903,-0.06620290263397016,1.6666666666666667,2.0
14,1.0265032998842185,2.6350454035025463,0.9422183768931831,3.111353139166787,305.86380523051224,317.82164637136714,101.02845477460478,129.09972807014552,75.73562238576193,74.06750566620158,152.43564443432848,91.3184962708371,77.98600829305622,0.7525655930319202,66.06959340671449,2.0
15,1.4156359318930185,0.4557823056823604,-0.03778703128816305,-0.0015257066840219798,177.58890300182458,-2.4290737009168875,162.75566308974032,8.59306435324404,6.2401755588402,-2.42485128545619,-0.028764819424807356,0.024542403964109887,0.044538334720001974,-0.021091165394939465,1.6666666674966197,2.0
16,0.993766043874813,1.1213505973239126e-06,0.8326866584338655,0.26844764853739034,127.17229560711787,111.80309205742637,127.17224063465983,3.0233406264808395e-05,2.4739051781727728e-05,99.1555707064553,7.237778120805703,5.409743230165368,5.911512402925702,0.774834497979646,0.7456410968968541,2.0
17,0.6125822099683688,3.63997917610403,9.611768787141985e-10,-1.7755942779968528e-10,578.2741042127856,2.6818001533099665,112.01065709271623,415.6608700526827,50.60257706738662,2.68180017092296,-2.027607925061502e-08,2.66308514868205e-09,4.832834546824277e-09,0.01466666760143812,2.2000001404885956,2.0
18,0.6783497548304184,0.7415528870389922,0.8832411733176048,1.142749624191315,159.15119502865667,211.32316375515606,125.69820957007653,26.932785587639454,6.5201998709407,157.78293853550045,41.50402641083901,12.0361988088166,32.18923515408804,0.8514999381300618,76.82281035457139,2.0
19,0.06248872016711569,1.0000042327891872,5.849090182834168e-13,1.2992448053809683e-13,156.30306782514958,1.3392780311619683e-10,12.022204872951386,124.84060842174075,19.44025453045746,1.147714881790549e-10,1.6219782544334455e-11,2.9365323928074646e-12,3.777570743037286e-12,5.96556412386584e-13,2.7959931308719544e-10,2.0
20,6.672780011615333e-07,3.1650713145769276e-07,0.032706933905510015,0.26797679677084796,7.946617794358063e-05,15.777696261662067,6.309780778983458e-05,1.2990288253850759e-05,3.378081899895295e-06,1.8506249445373302,10.998475198219076,2.928596118905661,7.440538919983895,0.019570906773871934,11.167291080990617,2.0
21,7.668559182709908e-07,4.249950678401384e-07,5.329130482580509e-16,2.7392975641082975e-16,7.494347410602967e-05,5.276750536123343e-14,6.864127324443639e-05,6.302200861593272e-06,0.0,4.8705433874988004e-14,4.062071486245425e-15,0.0,6.639321195156339e-15,5.441339948049157e-16,4.594343137550016e-13,2.0
22,9.330457032857179e-07,7.708433243470095e-08,0.018282631896112525,0.09306336000714979,7.729615445234844e-05,7.066550270704781,7.299216536804171e-05,2.340002829120756e-06,1.963986255185972e-06,1.7968830665169115,2.8250685817210424,2.444598622466826,2.198538224392786,0.022969232602798307,3.9652307243993845,2.0
23,-9.809034428789728e-06,1.0000039433406747,1.570748806713936e-12,6.704156128297986e-14,111.0905933665711,1.2542886468447646e-10,-0.0007357756725035175,29.136354894120295,81.9549742481233,1.1737618912472268e-10,1.9533390195156092e-12,6.099336540238163e-12,1.6889680501756061e-12,1.5648072140344312e-12,3.301161380410521e-10,2.0
24,-0.09079856785966423,0.9092429890177189,-3.1831628294871757e-06,0.999992593087279,91.88683772050865,38.89723188957571,-6.209714055922436,35.36729735017651,62.729254426254585,1.076043764603687e-10,38.8972318894643,3.8032604504326025e-12,1.2970141220714665e-12,1.5733934268221773e-12,3.3192632778872635e-10,0.0
