时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,0.0,0.0,0.0,0.0
1,ES,0.0,1.0,0.0,1.0
1,EV,0.0,0.0,0.0,0.0
2,PV,0.0,0.0,0.0,0.0
2,ES,-0.04334525446775539,0.0722420907795923,0.0,0.0
2,EV,0.0,0.0,0.0,0.0
3,PV,0.0,0.0,0.0,0.0
3,ES,0.0,0.0,0.0,0.0
3,EV,0.0,0.0,0.0,0.0
4,PV,0.0,0.0,0.0,0.0
4,ES,-0.2857142857142858,0.7142857142857142,-0.2857142857142858,0.7142857142857142
4,EV,0.0,0.0,0.0,0.0
5,PV,0.0,0.0,0.0,0.0
5,ES,-0.3333333333333333,0.6666666666666667,-0.3333333333333333,0.6666666666666667
5,EV,0.0,0.0,0.0,0.0
6,PV,0.009374999999999998,0.009374999999999998,0.009374999999999998,0.009374999999999998
6,ES,-0.2857142857142858,0.7142857142857142,-0.23076923076923078,0.7692307692307692
6,EV,0.0,0.0,0.0,0.0
7,PV,0.21250000000000002,0.0,0.21250000000000002,0.0
7,ES,-0.37500000000000006,0.625,-0.12296978074983787,0.24593956149967575
7,EV,0.0,0.0,0.0,0.0
8,PV,0.3656249999999999,0.3656249999999999,0.3656249999999999,0.3656249999999999
8,ES,-0.1666666666666668,0.8333333333333333,-0.16410877312108574,0.8358912268789143
8,EV,-0.384,0.132,-0.384,0.132
9,PV,0.61875,0.61875,0.61875,0.61875
9,ES,-0.08238446354784901,0.917615536452151,-0.09090909090909098,0.9090909090909091
9,EV,-0.4722445820433437,0.5977554179566564,-0.4748235294117647,0.5951764705882352
10,PV,0.953125,0.953125,0.953125,0.953125
10,ES,-0.1666666666666668,0.8333333333333333,-0.1666666666666668,0.8333333333333333
10,EV,-0.9920022663474892,0.5889977336525107,-0.9852294946297709,0.5957705053702289
11,PV,1.0375,1.0375,1.0375,1.0375
11,ES,-0.0634449470001619,0.9365550529998381,-0.09261461626927951,0.9073853837307204
11,EV,-0.7180138621460113,0.8629861378539889,-0.765009076131724,0.815990923868276
12,PV,1.21875,1.21875,1.21875,1.21875
12,ES,0.0,1.0,0.0,1.0
12,EV,-0.07675630085018291,1.5042436991498167,-0.10042958745573262,1.4805704125442674
13,PV,1.1906249999999998,1.1906249999999998,1.1906249999999998,1.1906249999999998
13,ES,-0.031954192376616786,0.9680458076233832,-0.09090909090909098,0.9090909090909091
13,EV,-0.5627737974202754,1.0182262025797244,-0.5534363674860323,1.0275636325139677
14,PV,1.015625,1.015625,1.015625,1.015625
14,ES,0.0,1.0,0.0,1.0
14,EV,-0.32016440422322784,1.2608355957767723,-0.25006099292511985,1.3309390070748799
15,PV,1.6437499999999998,0.0,1.6437499999999998,0.0
15,ES,0.0,1.0,0.0,1.0
15,EV,-0.4940019931049343,1.0869980068950655,-0.35244318779320494,1.228556812206795
16,PV,0.9937499999999999,0.0,0.9937499999999999,0.0
16,ES,0.0,1.0,0.0,1.0
16,EV,-0.2127978672345019,1.3682021327654978,-0.12408701511037887,1.4569129848896212
17,PV,0.6125,0.0,0.6125,0.0
17,ES,-0.09090909090909098,0.9090909090909091,0.0,1.0
17,EV,-0.5252428837931935,1.0557571162068065,-0.3649984242683554,1.2160015757316445
18,PV,0.29375000000000007,0.0,0.29375000000000007,0.0
18,ES,0.0,1.0,0.0,1.0
18,EV,-0.20750003322441735,0.8624999667755826,0.12501298508491726,0.9249063613851904
19,PV,0.0625,0.0,0.0625,0.0
19,ES,0.0,1.0,0.0,1.0
19,EV,0.0,0.0,0.0,0.0
20,PV,0.0,0.0,0.0,0.0
20,ES,0.0,1.0,0.0,1.0
20,EV,0.0,0.0,0.0,0.0
21,PV,0.0,0.0,0.0,0.0
21,ES,-0.09090909090909098,0.9090909090909091,0.0,1.0
21,EV,0.0,0.0,0.0,0.0
22,PV,0.0,0.0,0.0,0.0
22,ES,0.0,1.0,0.0,1.0
22,EV,0.0,0.0,0.0,0.0
23,PV,0.0,0.0,0.0,0.0
23,ES,-0.23076923076923078,0.7692307692307692,0.10707874683112961,0.8929212531688704
23,EV,0.0,0.0,0.0,0.0
24,PV,0.0,0.0,0.0,0.0
24,ES,-0.26396336399867093,0.7360366360013291,0.09090909090909088,0.9090909090909092
24,EV,0.0,0.0,0.0,0.0
