时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,-0.0,-0.0,-0.0,-0.0
1,ES,-4.8123645720789665e-12,0.9999999999942821,-4.8123645720789665e-12,0.9999999999942821
1,EV,0.0,0.0,0.0,0.0
2,PV,-0.0,-0.0,-0.0,-0.0
2,ES,-5.394870785147081e-12,0.9999999999936837,-1.041187107016386e-13,0.9999999999996886
2,EV,0.0,0.0,0.0,0.0
3,PV,-0.0,-0.0,-0.0,-0.0
3,ES,-0.053379563500137686,0.9466204364984512,-7.957476631418662e-13,0.9999999999979965
3,EV,0.0,0.0,0.0,0.0
4,PV,-0.0,-0.0,-0.0,-0.0
4,ES,-0.9999999993704658,3.7465130251486206e-10,-0.5313449033864512,0.4686550963907757
4,EV,0.0,0.0,0.0,0.0
5,PV,-0.0,-0.0,-0.0,-0.0
5,ES,-2.4804630061772328e-12,0.9999999999961071,-1.0946703591593708e-11,0.9999999999759361
5,EV,0.0,0.0,0.0,0.0
6,PV,0.009375004153766957,-0.009374995059964641,0.009375000237293048,-0.009374999721892846
6,ES,-3.7954927829125795e-12,0.9999999999948079,-5.269541964239566e-12,0.999999999991337
6,EV,0.0,0.0,0.0,0.0
7,PV,0.2124999776132436,-2.0166038783298035e-08,0.2124999990569941,-8.677479013119438e-10
7,ES,-2.601911741617613e-12,0.9999999999959877,-2.2305768343500176e-13,0.9999999999996055
7,EV,0.0,0.0,0.0,0.0
8,PV,0.7312499959930623,2.617744354616036e-10,0.7312499924724485,4.2736819638733436e-10
8,ES,-6.814965258783445e-12,0.9999999999913987,-1.6033563365880354e-12,0.9999999999975645
8,EV,-3.83348353061308e-11,0.8799999999428014,-1.299571561474977e-12,0.8799999999979893
9,PV,1.2374999978193637,1.83766779571215e-10,1.2374999999541287,4.977240841697039e-12
9,ES,-6.419853260108965e-10,0.999999999355745,-1.92320603886742e-11,0.9999999999716729
9,EV,-0.31249318539757687,1.4475068143877667,-0.09603224906063337,1.6639677509039594
10,PV,1.906249998202075,3.7630665250532047e-10,1.9062499999105738,2.203720539384335e-11
10,ES,-0.03639183507994326,0.9636081649141477,-9.03493391213317e-11,0.99999999971403
10,EV,-2.6690261112349845e-10,-2.6399999978362914,-1.2131334825582485e-09,-2.6399999980887525
11,PV,2.074999998544212,3.8018144188356473e-10,2.0749999999925315,2.118055730804258e-12
11,ES,-0.19591204367186388,0.8040879563231229,-1.0836387343005072e-11,0.9999999999872515
11,EV,-0.06410974894993504,-2.57589024976024,-0.7581521470569419,-1.8818478527394675
12,PV,2.4374999984314605,8.563463271826777e-10,2.4374999999333946,3.957467686888094e-11
12,ES,-0.8845464427416423,0.1154535572528691,-0.6527358529322786,0.3472641470382191
12,EV,-2.9212202101724927e-09,-2.6399999961110368,-0.07999979163988735,-2.5600002078165547
13,PV,2.381249998580335,3.8252176426389894e-10,2.381249999795289,7.789224820697882e-11
13,ES,-8.917588889545414e-12,0.9999999999862605,-1.695532603207539e-12,0.999999999996849
