slot,arrivals,departures,online_ev_count,bid_p_day_mw,bid_p_corrected_mw,bid_p_delta_mw,bid_r_day_mw,bid_r_corrected_mw,bid_r_delta_mw,day_profit_usd,actual_profit_usd
1,0,0,0,-0.09090909090909098,-0.09090909090909098,0.0,0.9090909090909091,0.9090909090909091,0.0,107.60914704186055,78.14592720462046
2,0,0,0,-0.2857142857142858,-0.23076923076923078,0.05494505494505503,0.7142857142857142,0.7692307692307692,0.05494505494505497,64.10211862088899,79.82328698064632
3,0,0,0,-0.23076923076923078,-0.1666666666666668,0.06410256410256399,0.7692307692307692,0.8333333333333333,0.0641025641025641,65.33450893749799,77.32143338975338
4,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,184.34568079828267,197.15839885114477
5,0,0,0,-0.44342080466378686,-0.2455590637942433,0.19786174086954356,0.5565791953362131,0.7544409362057567,0.19786174086954356,3.297872411136293,29.250866001741244
6,0,0,0,-0.3239583333333333,-0.1863646923279734,0.1375936410053599,0.6760416666666668,0.8136353076720266,0.13759364100535987,31.813115165751785,61.98673947080347
7,0,0,0,-0.060416666666666785,-0.03569437745903287,0.02472228920763392,0.9395833333333332,0.964305622540967,0.024722289207633752,109.76538672004017,124.90074649530195
8,120,0,120,-0.35647779127436735,-0.35647779127436746,-1.1102230246251565e-16,2.2615222087256415,2.261522208725642,4.440892098500626e-16,277.2885818410706,287.3091262526723
9,120,0,240,-0.3812379964806454,-0.381596525074987,-0.00035852859434160056,3.810762003519358,3.8104034749250153,-0.0003585285943428218,596.6014367538789,653.2234587066414
10,120,0,360,-0.8878109150852916,-0.8699796139730188,0.017831301112272824,4.933189084914692,4.951020386026976,0.017831301112284592,617.6096288964025,468.69796815382404
11,0,0,360,1.0375,1.0375,0.0,6.858500000000004,6.858500000000004,0.0,2360.6915701076223,2647.131465785396
12,0,0,360,-0.19723000425662765,-0.1958012527528546,0.001428751503773057,5.623769995743359,5.625198747247128,0.001428751503769199,808.118101446564,882.1287683342199
13,0,0,360,1.0543788314683236,0.971119148003831,-0.08325968346449253,4.494128831468313,4.410869148003845,-0.0832596834644681,674.4603448266864,727.312915351273
14,0,0,360,0.3863585991751733,0.48587845840090405,0.09951985922573076,4.176108599175137,4.275628458400889,0.0995198592257518,524.1672479510125,516.1635601543198
15,0,0,360,-0.36345763209777515,-0.5380677380305465,-0.17461010593277138,2.8137923679022183,2.6391822619694443,-0.17461010593277404,112.707112442751,76.1061374139728
16,0,0,360,-0.18903421661691344,-0.0751361135297916,0.11389810308712184,4.638215783383091,4.752113886470202,0.11389810308711112,385.88628270965614,160.26699988276613
17,0,120,360,-1.8360294117647102,-1.450945186340771,0.3850842254239393,2.372470588235292,2.7575548136592256,0.3850842254239337,-209.0083958400008,-126.07840900614684
18,0,240,240,-0.9765276385838711,-0.17374374282010388,0.8027838957637673,1.9217223614161276,2.724506257179901,0.8027838957637732,-77.18764483654367,16.277925901846388
19,0,0,0,0.03125,0.03125,0.0,1.03125,1.03125,0.0,197.42860090422334,215.8012279969762
20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7427651648373335
21,0,0,0,-0.23076923076923078,0.0012477605722207574,0.23201699134145154,0.7692307692307692,0.9987522394277792,0.22952147019701008,46.12204270698618,100.57579079555988
22,0,0,0,-0.08046667214820191,0.0,0.08046667214820191,0.9195333278517981,1.0,0.08046667214820191,116.89303207511645,145.34431689920132
23,0,0,0,-0.09090909090909098,0.09090909090909088,0.18181818181818188,0.9090909090909091,0.9090909090909092,1.1102230246251565e-16,118.77859170103608,133.5056296636331
24,0,0,0,-0.1666666666666668,0.0,0.1666666666666668,0.8333333333333333,1.0,0.16666666666666674,103.84742581473009,141.87042249803483
