时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,0.0,0.0,0.0,0.0
1,ES,0.0,1.0,0.0,1.0
1,EV,0.0,0.0,0.0,0.0
2,PV,0.0,0.0,0.0,0.0
2,ES,0.0,1.0,0.0,1.0
2,EV,0.0,0.0,0.0,0.0
3,PV,0.0,0.0,0.0,0.0
3,ES,-0.04761904761904745,0.9523809523809526,-0.04761904761904745,0.9523809523809526
3,EV,0.0,0.0,0.0,0.0
4,PV,0.0,0.0,0.0,0.0
4,ES,0.0,1.0,0.0,1.0
4,EV,0.0,0.0,0.0,0.0
5,PV,0.0,0.0,0.0,0.0
5,ES,-0.31034482758620685,0.6896551724137931,-0.35483870967741926,0.6451612903225807
5,EV,0.0,0.0,0.0,0.0
6,PV,0.009374999999999998,0.009374999999999998,0.009374999999999998,0.009374999999999998
6,ES,-0.13043478260869557,0.8695652173913044,-0.19999999999999996,0.8
6,EV,0.0,0.0,0.0,0.0
7,PV,0.10625000000000001,0.10625000000000001,0.10625000000000001,0.10625000000000001
7,ES,0.0,1.0,0.0,1.0
7,EV,0.0,0.0,0.0,0.0
8,PV,0.3656249999999999,0.3656249999999999,0.3656249999999999,0.3656249999999999
8,ES,0.0,1.0,0.0,1.0
8,EV,-0.17600000000000005,0.704,-0.17600000000000005,0.704
9,PV,0.61875,0.61875,0.61875,0.61875
9,ES,0.0,1.0,0.0,1.0
9,EV,-0.0838095238095235,1.676190476190476,-0.0838095238095235,1.676190476190476
10,PV,0.953125,0.953125,0.953125,0.953125
10,ES,0.0,1.0,0.0,1.0
10,EV,-0.40556521739130436,2.234434782608696,-0.332687370600414,2.3073126293995863
11,PV,1.0375,1.0375,1.0375,1.0375
11,ES,0.0,1.0,0.0,1.0
11,EV,0.0,2.64,0.0,2.64
12,PV,1.21875,1.21875,1.21875,1.21875
12,ES,0.0,1.0,0.0,1.0
12,EV,-0.1642183078228486,2.4757816921771503,-0.28654208931780123,2.3534579106821987
13,PV,2.3812499999999996,0.0,2.3812499999999996,0.0
13,ES,0.0,1.0,0.0,1.0
13,EV,-0.19859213250517566,2.4414078674948234,-0.32912547952694665,2.310874520473053
14,PV,2.03125,0.0,2.03125,0.0
14,ES,0.0,1.0,0.0,1.0
14,EV,-0.24516816677799147,2.3948318332220087,-0.40556521739130436,2.234434782608696
15,PV,1.6437499999999998,0.0,1.6437499999999998,0.0
15,ES,0.042937609704827566,0.09541691045517238,0.0,0.0
15,EV,-0.7743550446998722,1.8656449553001273,-0.8584649610678529,1.7815350389321467
16,PV,0.9937499999999999,0.0,0.9937499999999999,0.0
16,ES,0.19999999999999993,0.8,0.04761904761904756,0.9523809523809526
16,EV,-0.12810598447226756,2.511894015527732,-0.04190476190476175,2.5980952380952376
17,PV,0.6125,0.0,0.6125,0.0
17,ES,0.0,0.0,0.0,0.0
17,EV,-0.8584649610678529,1.7815350389321467,-1.1347923247369285,1.5052076752630712
18,PV,0.29375000000000007,0.0,0.29375000000000007,0.0
18,ES,0.0,0.0,0.0,0.0
18,EV,-0.456296296296296,1.303703703703704,-0.6699961025192727,1.0900038974807273
19,PV,0.03125,0.03125,0.03125,0.03125
19,ES,0.0,1.0,0.0,1.0
19,EV,0.0,0.0,0.0,0.0
20,PV,0.0,0.0,0.0,0.0
20,ES,0.0,0.0,0.0,0.0
20,EV,0.0,0.0,0.0,0.0
21,PV,0.0,0.0,0.0,0.0
21,ES,0.0,1.0,-0.06584911251123982,0.9341508874887602
21,EV,0.0,0.0,0.0,0.0
22,PV,0.0,0.0,0.0,0.0
22,ES,0.0,1.0,0.0,1.0
22,EV,0.0,0.0,0.0,0.0
23,PV,0.0,0.0,0.0,0.0
23,ES,0.0,1.0,-0.04761904761904745,0.9523809523809526
23,EV,0.0,0.0,0.0,0.0
24,PV,0.0,0.0,0.0,0.0
24,ES,0.0,1.0,-0.11864249811711958,0.8813575018828804
24,EV,0.0,0.0,0.0,0.0
