slot,energy_only_bid_p_mw,energy_only_energy_fee_usd,energy_only_battery_deg_usd,energy_only_profit_usd,full_market_bid_p_mw,full_market_bid_r_mw,full_market_energy_fee_usd,full_market_reg_capacity_usd,full_market_reg_mileage_usd,full_market_battery_deg_usd,full_market_profit_usd,profit_gap_usd
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,-0.3333333333333333,0.6666666666666667,-13.573309500385628,11.138880000000002,16.435231722548746,34.627192055395895,-20.626389833232775,-20.626389833232775
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,-0.2857142857142858,0.7142857142857142,-7.285820598606573,9.031714285714283,23.314087099889488,23.507162311625635,1.5528184753715628,1.5528184753715628
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.018749999999999996,0.9363749999999997,0.0,0.9363749999999997,-0.3239583333333333,0.6760416666666668,-14.343861269156966,13.218020750000003,8.73659117122967,32.798959793031486,-25.18820914095878,-26.124584140958778
7,0.21250000000000002,10.918250000000002,0.0,10.918250000000002,-0.2270833333333333,0.7729166666666667,-4.913356761251103,17.081953,20.218285606346942,43.616801672530244,-11.229919827434408,-22.14816982743441
8,0.4792499999999996,27.78212249999998,0.0,27.78212249999998,0.011920146521139941,1.5279201465211403,6.078667177677898,53.11771607616641,86.20179846570046,35.74968628969537,109.64849542984939,81.8663729298494
9,0.16750000000000084,8.838975000000046,0.0,8.838975000000046,0.1462816187080896,2.2162816187080927,7.692168572496095,73.07931549022165,215.58603510655314,53.63335130106238,242.72416786820847,233.88519286820843
10,0.6025833333333408,34.793161666667096,0.0,34.793161666667096,0.13167733672416243,2.7126773367241594,-18.845237728999248,110.21434407760708,138.18166414756328,64.08041163585682,165.4703588603143,130.6771971936472
11,1.6713333333333356,126.73720666666684,0.0,126.73720666666684,0.3117280812617807,2.892728081261778,70.27952915888072,162.87355039684218,117.5541615676931,51.830193725085515,298.8770473983305,172.13984073166364
12,1.6418333333333277,116.8821149999996,0.0,116.8821149999996,0.4477105095423703,3.028710509542369,27.70218674619001,170.23194519617914,167.68559384543957,50.17736003600934,315.4423657517994,198.5602507517998
13,2.23125,180.418875,0.0,180.418875,0.7771593137254905,3.3581593137254906,85.82162529032136,208.14596788882355,215.71373643850242,50.44324359699413,459.23808602065316,278.81921102065314
14,2.03125,177.490625,0.0,177.490625,0.9819308691003102,3.5629308691003065,49.39914898451331,347.50718442129886,263.3077384144715,74.21039166891877,586.0036801513648,408.5130551513648
15,1.6437499999999998,149.1374375,0.0,149.1374375,1.0726067698452295,2.009856769845227,98.34294555042554,140.25841744354474,0.0,57.31911597954742,181.28224701442286,32.14480951442286
16,0.9937499999999999,100.587375,0.0,100.587375,0.6295232954975859,2.21677329549758,45.943194165538486,93.09809410380733,39.29186066711958,65.57376386511682,112.75938507134858,12.17201007134858
17,0.6125,60.361875000000005,0.0,60.361875000000005,0.27324124707464,0.3153381311407375,24.152385648625245,5.389784564507977,0.0,0.6967026581389434,28.84546755499428,-31.516407445005726
18,0.29375000000000007,27.938562500000007,0.0,27.938562500000007,0.10255834921094417,1.878808349210944,21.16377188851416,75.42889455744161,38.26623000653634,35.05089495801962,99.80800149447248,71.86943899447247
19,0.0625,5.164375,0.0,5.164375,-0.05965909090909098,0.9403409090909091,2.036006738183972,57.099982499999996,14.25863380279305,31.345396645236633,42.04922639574039,36.88485139574039
20,0.0,0.0,0.0,0.0,0.0,1.0,-5.763287314927201,51.07944,55.67366341601933,42.06630325394942,58.923512847142696,58.923512847142696
21,0.0,0.0,0.0,0.0,0.0,1.0,8.156018675818581,71.21208,61.16578451213084,42.16982610295194,98.36405708499748,98.36405708499748
22,0.0,0.0,0.0,0.0,0.04463068187945809,0.9553693181205419,7.084814901232298,57.843332157653634,53.246506446330464,40.59515210751338,77.57950139770301,77.57950139770301
23,0.0,0.0,0.0,0.0,0.0,1.0,-6.36153923585766,60.37824,73.37770492693424,51.366290337092764,76.02811535398381,76.02811535398381
24,0.0,0.0,0.0,0.0,0.0,1.0,2.7786799242069278,50.931839999999994,54.25509690301095,47.380586698288134,60.58503012892974,60.58503012892974
