时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,0.0,0.0,0.0,0.0
1,ES,0.0,1.0,0.0,1.0
1,EV,0.0,0.0,0.0,0.0
2,PV,0.0,0.0,0.0,0.0
2,ES,-0.3333333333333333,0.6666666666666667,-0.3333333333333333,0.6666666666666667
2,EV,0.0,0.0,0.0,0.0
3,PV,0.0,0.0,0.0,0.0
3,ES,-0.3333333333333333,0.6666666666666667,-0.3333333333333333,0.6666666666666667
3,EV,0.0,0.0,0.0,0.0
4,PV,0.0,0.0,0.0,0.0
4,ES,-0.23076923076923078,0.7692307692307692,-0.15102399754576346,0.8489760024542365
4,EV,0.0,0.0,0.0,0.0
5,PV,0.0,0.0,0.0,0.0
5,ES,-0.3855579435421635,0.5507970622030905,0.0,0.0
5,EV,0.0,0.0,0.0,0.0
6,PV,0.009374999999999998,0.009374999999999998,0.009374999999999998,0.009374999999999998
6,ES,0.0,1.0,0.0,1.0
6,EV,0.0,0.0,0.0,0.0
7,PV,0.10625000000000001,0.10625000000000001,0.10625000000000001,0.10625000000000001
7,ES,0.0,1.0,0.0,1.0
7,EV,0.0,0.0,0.0,0.0
8,PV,0.3656249999999999,0.3656249999999999,0.3656249999999999,0.3656249999999999
8,ES,-0.14932609005475894,0.8506739099452411,-0.09047923319093654,0.9095207668090635
8,EV,-0.17919327731092438,0.3368067226890756,-0.17919327731092438,0.3368067226890756
9,PV,0.61875,0.61875,0.61875,0.61875
9,ES,0.0,1.0,0.0,1.0
9,EV,-0.2937462246715896,0.7762537753284104,-0.29648272065853165,0.7735172793414683
10,PV,0.953125,0.953125,0.953125,0.953125
10,ES,0.0,1.0,0.0,1.0
10,EV,-0.5294734363338064,1.0515265636661937,-0.5181083419556378,1.0628916580443621
11,PV,1.0375,1.0375,1.0375,1.0375
11,ES,0.0,1.0,0.0,1.0
11,EV,-0.462609022556391,1.118390977443609,-0.46036618369869986,1.1206338163013
12,PV,1.21875,1.21875,1.21875,1.21875
12,ES,0.0,1.0,0.0,1.0
12,EV,-0.17432550884891068,1.4066744911510891,-0.1629838355437298,1.41801616445627
13,PV,1.1906249999999998,1.1906249999999998,1.1906249999999998,1.1906249999999998
13,ES,0.0,1.0,0.0,1.0
13,EV,-0.4504833236661787,1.130516676333821,-0.371561403508772,1.2094385964912282
14,PV,1.015625,1.015625,1.015625,1.015625
14,ES,0.0,1.0,0.0,1.0
14,EV,-0.0702159943120944,1.5107840056879056,-0.051923076923076926,1.5290769230769228
15,PV,1.6437499999999998,0.0,1.6437499999999998,0.0
15,ES,-0.08815154320987664,0.8815154320987656,0.0,1.0
15,EV,-0.587448132347283,0.9935518676527171,-0.4690538233511011,1.111946176648899
16,PV,0.9937499999999999,0.0,0.9937499999999999,0.0
16,ES,-0.20459032455979353,0.7954096754402065,-0.09090909090909098,0.9090909090909091
16,EV,-0.8345167362728803,0.7464832637271195,-0.6866475689216156,0.8943524310783844
17,PV,0.6125,0.0,0.6125,0.0
17,ES,-0.09090909090909098,0.9090909090909091,0.0,1.0
17,EV,-0.6211221558798958,0.9598778441201041,-0.5443100625799439,1.036689937420056
18,PV,0.29375000000000007,0.0,0.29375000000000007,0.0
18,ES,0.0,0.0,0.0,0.0
18,EV,-0.7839999999999998,0.286,-0.3222792767536895,0.1757207232463105
19,PV,0.0625,0.0,0.0625,0.0
19,ES,0.0,0.0,0.0,0.0
19,EV,0.0,0.0,0.0,0.0
20,PV,0.0,0.0,0.0,0.0
20,ES,-0.09090909090909098,0.9090909090909091,0.0,1.0
20,EV,0.0,0.0,0.0,0.0
21,PV,0.0,0.0,0.0,0.0
21,ES,-0.23076923076923078,0.7692307692307692,-0.06595394978449254,0.9340460502155075
21,EV,0.0,0.0,0.0,0.0
22,PV,0.0,0.0,0.0,0.0
22,ES,0.0,1.0,0.0,1.0
22,EV,0.0,0.0,0.0,0.0
23,PV,0.0,0.0,0.0,0.0
23,ES,-0.23076923076923078,0.7692307692307692,0.16666666666666663,0.8333333333333334
23,EV,0.0,0.0,0.0,0.0
24,PV,0.0,0.0,0.0,0.0
24,ES,-0.1666666666666668,0.8333333333333333,0.09090909090909088,0.9090909090909092
24,EV,0.0,0.0,0.0,0.0
