时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,-0.0,-0.0,-0.0,-0.0
1,ES,-5.4187100666021555e-12,0.9999999999932527,-5.4187100666021555e-12,0.9999999999932527
1,EV,0.0,0.0,0.0,0.0
2,PV,-0.0,-0.0,-0.0,-0.0
2,ES,-9.623913535304772e-12,0.9999999999890425,-4.585831957182362e-12,0.9999999999941271
2,EV,0.0,0.0,0.0,0.0
3,PV,-0.0,-0.0,-0.0,-0.0
3,ES,-0.05337956348191934,0.9466204365163954,-3.1031000859225257e-10,0.9999999996587015
3,EV,0.0,0.0,0.0,0.0
4,PV,-0.0,-0.0,-0.0,-0.0
4,ES,-2.718147179442992e-07,2.7192638544526853e-07,-2.0573373962900154e-10,1.6099337725289688e-10
4,EV,0.0,0.0,0.0,0.0
5,PV,-0.0,-0.0,-0.0,-0.0
5,ES,-0.07481793210623422,0.9251820678919064,-0.1666690969674839,0.833330902989291
5,EV,0.0,0.0,0.0,0.0
6,PV,0.018749999842091407,8.435890874736174e-11,0.01874999996261635,3.3810565458480824e-11
6,ES,-0.27682086118453725,0.7231791388128997,-0.33333333273371285,0.6666666671489867
6,EV,0.0,0.0,0.0,0.0
7,PV,0.10625000022027686,0.1062499997671367,0.10625000013692258,0.10624999967842505
7,ES,-1.380245917559364e-11,0.9999999999843547,-0.1666666667693033,0.8333333332184284
7,EV,0.0,0.0,0.0,0.0
8,PV,0.7312499998412777,1.437435726003855e-10,0.365625000105208,0.3656249998160958
8,ES,-0.2307692307776677,0.7692307692200098,-0.1569777334945944,0.8430222665033227
8,EV,-0.20307692303992708,0.6769230769597392,-0.3300000021711889,0.549999997812896
9,PV,1.2374999999633032,3.2604474675679285e-12,1.2374999977372727,2.197120152480636e-09
9,ES,-0.33333333351074174,0.666666666486214,-0.1645202047848676,0.8354797952021096
9,EV,-0.6600000000032611,1.0999999999954484,-0.7534640605796568,1.0065359389985409
10,PV,1.906249999968801,9.94215820782074e-12,0.9531250000721639,0.9531249999172069
10,ES,-0.16666666662030752,0.8333333333771669,-2.9132252166164108e-12,0.9999999999967927
10,EV,-0.6575824522588996,1.9824175477399033,-0.6164908557317003,2.0235091441634334
11,PV,2.0749999999760775,1.5543122344752192e-15,2.0749999998959776,9.797740396777499e-11
11,ES,-0.3605954015994835,0.6394045983975608,-0.16666666665735463,0.8333333333421373
11,EV,-1.104307426945982,1.5356925730526267,-0.9533333296931852,1.6866666701722024
12,PV,2.437499999976473,6.3623550872193846e-12,1.2888262314389392,1.1486737685576145
12,ES,-0.37500000000001976,0.6249999999971534,-0.20425717300937696,0.7957428269835511
12,EV,-1.1057710877113722,1.5342289122873358,-0.8747619006965145,1.765238098975446
13,PV,2.3812499999782917,6.511458039426543e-13,2.381249999942262,5.5071502913506265e-11
13,ES,-0.2307692307814217,0.7692307692159392,-0.09090909058169006,0.9090909092607389
13,EV,-0.8747619048359316,1.7652380951628084,-0.527870946608657,2.1121290532624677
14,PV,2.0312499999775637,-4.370614981041854e-12,2.0312499992998765,4.369959949457325e-10
14,ES,-0.23091370302483114,0.7690862969721226,-0.1284744119723995,0.8715255880272076
14,EV,-0.8867829985136125,1.7532170014848032,-0.5088095555667416,2.131190444365949
15,PV,1.6437499999734657,-1.09978692819368e-12,1.6437499996284906,1.1920866692849115e-10
15,ES,-4.6726955638121126e-11,3.002204040924994e-11,3.241851231905457e-13,5.257964599132117e-12
15,EV,-0.08000000001687874,0.8000000000181285,-4.684732601845099e-10,7.76251057267202e-09
16,PV,0.9937499999662645,-8.690770325614494e-12,0.9937499997703408,1.261714621669796e-10
16,ES,-8.61047344535848e-12,-4.398814645867333e-11,-4.727301883278301e-11,2.573204427314124e-10
16,EV,-0.33159220790430444,2.308407792094102,-0.42130123442335166,2.2186987651993126
17,PV,0.6124999999642168,-5.079048293055166e-12,0.612499999827944,1.5357903837553977e-10
17,ES,-1.5225182226075162e-12,0.9999999999945912,1.6513596046152657e-12,0.9999999999538561
17,EV,-3.86182752443176e-12,2.639999999995277,-0.02502157576986061,2.614978423077097
18,PV,0.2937499999504497,-2.5807911363529e-11,0.2937499999851465,5.471678665713853e-12
18,ES,0.2307692307248877,0.7692307692625195,0.32325156510784203,0.6767484346061522
18,EV,-0.008102502323749428,1.751897497675201,-0.27245937890440325,1.487540621029785
19,PV,0.062499999880742854,1.0985218290571197e-10,0.062499996165451904,3.581532320717784e-09
19,ES,-5.862046958959866e-13,0.9999999999971532,2.431908840971886e-14,0.9999999999997522
19,EV,0.0,0.0,0.0,0.0
20,PV,-0.0,-0.0,-0.0,-0.0
20,ES,-4.0993004828130514e-11,0.9999999999550192,-0.009381950096416822,0.04690975210114601
20,EV,0.0,0.0,0.0,0.0
21,PV,-0.0,-0.0,-0.0,-0.0
21,ES,-3.7146137086341114e-11,3.600109759858841e-11,-5.250577092036623e-10,6.495818372847492e-10
21,EV,0.0,0.0,0.0,0.0
22,PV,-0.0,-0.0,-0.0,-0.0
22,ES,-0.16510812586805035,0.834891874128922,-0.04427832017190732,0.11069531759294043
22,EV,0.0,0.0,0.0,0.0
23,PV,-0.0,-0.0,-0.0,-0.0
23,ES,-2.5503880168564518e-12,0.9999999999956346,-1.665634162755678e-11,0.9999999999508165
23,EV,0.0,0.0,0.0,0.0
24,PV,-0.0,-0.0,-0.0,-0.0
24,ES,-3.298424906874689e-12,0.9999999999949561,-5.022173067281087e-13,0.9999999999888347
24,EV,0.0,0.0,0.0,0.0
