时段,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率,日前利润,实际利润,日前能量费用,日前容量收益,日前里程收益,实际能量费用,实际容量收益,实际里程收益,实际里程,实际能量,实际成本,修正次数
1,0.0,1.0,0.0,1.0,126.96155809448422,99.09409169288149,0.0,28.50648,98.45507809448422,-29.05556330035804,28.50648,99.64317499323953,25.766765705031013,-0.3775901663464332,60.47350083453284,0.0
2,-0.04334525446775539,0.0722420907795923,0.0,0.0,0.1673036239075658,8.723979532749466,-3.0280994771173915,1.978329428213717,1.2170736728112403,3.588234018361805,0.0,5.1357455143876605,8.02962087928027,0.051363212401400016,18.419924050613695,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.2857142857142858,0.7142857142857142,-0.2857142857142858,0.7142857142857142,29.75399891053494,28.655902269917917,-15.074285714285718,13.403485714285713,31.424798910534946,-8.470689616185165,13.403485714285713,23.72310617181737,13.855659618153311,-0.1605513573954732,23.507162311625635,0.0
5,-0.3333333333333333,0.6666666666666667,-0.3333333333333333,0.6666666666666667,26.016417299940294,29.680119528780924,-17.363333333333333,9.13808,34.24167063327363,-14.09766367939981,9.13808,34.639703208180734,16.44997682935412,-0.2706405006603918,30.26842642607517,0.0
6,-0.2763392857142858,0.7236607142857142,-0.2213942307692308,0.7786057692307692,43.90358783881234,48.23817924471907,-15.966883928571432,21.853800964285714,38.01667080309806,-11.226119555686225,23.51308448076923,35.951214319636065,18.930459538963344,-0.19429075035801704,42.16781851472665,0.0
7,-0.16250000000000003,0.625,0.08953021925016215,0.24593956149967575,14.663988723289151,20.1992469448922,-9.750000000000002,17.4783,6.935688723289151,10.576810587284083,6.877768700415652,2.744667657192461,7.152042050220088,0.1762801764547347,19.50630136980166,0.0
8,-0.18504166666666697,1.330958333333332,-0.182483773121086,1.333516226878913,142.73474267937462,140.85956672287944,-12.893703333333356,71.59927620999993,84.02916980270804,3.4274766462652972,71.73687880949464,65.6952112671195,29.411200918269177,0.04918881524490954,29.736138429753318,0.0
9,0.06412095440880694,2.1341209544088064,0.053017379679143946,2.1230173796791454,329.37269210035424,360.71648128986874,5.139935705409964,139.3753420202067,184.85741437473763,2.79107239806824,138.650188873476,219.2752200183245,69.63770960947805,0.03481876744097106,48.294797637452255,0.0
10,-0.20554393301415627,2.375456066985847,-0.19877116129643876,2.3822288387035644,251.0361894622228,216.71115205419497,-19.238912130125026,129.63490877943448,140.64019281291337,-43.629810812929,130.0045168121877,130.3364460549363,53.19507544606731,-0.4661304574030877,60.873714005416915,0.0
