时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,0.0,0.0,0.0,0.0
1,ES,0.0,1.0,0.0,1.0
1,EV,0.0,0.0,0.0,0.0
2,PV,0.0,0.0,0.0,0.0
2,ES,0.0,1.0,0.0,1.0
2,EV,0.0,0.0,0.0,0.0
3,PV,0.0,0.0,0.0,0.0
3,ES,-0.1666666666666668,0.8333333333333333,-0.09090909090909098,0.9090909090909091
3,EV,0.0,0.0,0.0,0.0
4,PV,0.0,0.0,0.0,0.0
4,ES,0.0,0.0,0.0,0.0
4,EV,0.0,0.0,0.0,0.0
5,PV,0.0,0.0,0.0,0.0
5,ES,-0.2857142857142858,0.7142857142857142,-0.19348013879093795,0.806519861209062
5,EV,0.0,0.0,0.0,0.0
6,PV,0.018749999999999996,0.0,0.018749999999999996,0.0
6,ES,-0.3333333333333333,0.6666666666666667,-0.2857142857142858,0.7142857142857142
6,EV,0.0,0.0,0.0,0.0
7,PV,0.10625000000000001,0.10625000000000001,0.10625000000000001,0.10625000000000001
7,ES,-0.23076923076923078,0.7692307692307692,-0.18381584567121578,0.8161841543287842
7,EV,0.0,0.0,0.0,0.0
8,PV,0.3656249999999999,0.3656249999999999,0.3656249999999999,0.3656249999999999
8,ES,-0.2857142857142858,0.7142857142857142,-0.14195413431948112,0.8580458656805189
8,EV,-0.3623529411764706,0.5176470588235293,-0.3623529411764706,0.5176470588235293
9,PV,0.61875,0.61875,0.61875,0.61875
9,ES,-0.2857142857142858,0.7142857142857142,-0.16761972395126068,0.8323802760487393
9,EV,-0.7534640522875816,1.006535947712418,-0.7534640522875816,1.006535947712418
10,PV,0.953125,0.953125,0.953125,0.953125
10,ES,-0.09090909090909098,0.9090909090909091,0.0,1.0
10,EV,-0.6922051442275384,1.9477948557724611,-0.6154787305955138,2.024521269404486
11,PV,1.0375,1.0375,1.0375,1.0375
11,ES,-0.23076923076923078,0.7692307692307692,-0.1630634452400186,0.8369365547599814
11,EV,-0.9533333333333336,1.6866666666666656,-0.8965589183297115,1.743441081670288
12,PV,1.21875,1.21875,1.21875,1.21875
12,ES,-0.1932382857913858,0.8067617142086142,-0.20408409492357604,0.795915905076424
12,EV,-0.9166666666666667,1.7233333333333327,-0.8380952380952379,1.8019047619047615
13,PV,1.1906249999999998,1.1906249999999998,1.1906249999999998,1.1906249999999998
13,ES,-0.09090909090909098,0.9090909090909091,-0.09090909090909098,0.9090909090909091
13,EV,-0.6011721611721612,2.0388278388278387,-0.4493815574365909,2.1906184425634088
14,PV,2.03125,0.0,2.03125,0.0
14,ES,-0.12268890300366331,0.8773110969963367,-0.12846251227680294,0.8715374877231971
14,EV,-0.7478388278388277,1.8921611721611717,-0.4694933779684083,2.170506622031592
15,PV,1.6437499999999998,0.0,1.6437499999999998,0.0
15,ES,0.0,0.0,0.0,0.0
15,EV,-0.07128417357289454,0.11880695595482424,0.0,0.0
16,PV,0.9937499999999999,0.0,0.9937499999999999,0.0
16,ES,0.0,0.0,0.0,0.0
16,EV,-0.7289362493925133,1.911063750607486,-0.4691350623279802,2.17086493767202
17,PV,0.6125,0.0,0.6125,0.0
17,ES,0.0,1.0,0.0,1.0
17,EV,0.0,2.64,-0.022783411769534873,2.6172165882304648
18,PV,0.29375000000000007,0.0,0.29375000000000007,0.0
18,ES,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667
18,EV,-0.008102502325367245,1.7518974976746327,-0.271429469475168,1.4885705305248318
19,PV,0.0625,0.0,0.0625,0.0
19,ES,0.0,1.0,0.0,1.0
19,EV,0.0,0.0,0.0,0.0
20,PV,0.0,0.0,0.0,0.0
20,ES,0.0,0.0,0.0,0.0
20,EV,0.0,0.0,0.0,0.0
21,PV,0.0,0.0,0.0,0.0
21,ES,0.0,0.0,0.0,0.0
21,EV,0.0,0.0,0.0,0.0
22,PV,0.0,0.0,0.0,0.0
22,ES,0.0,0.0,0.0,0.0
22,EV,0.0,0.0,0.0,0.0
23,PV,0.0,0.0,0.0,0.0
23,ES,-0.01827792863799582,0.9817220713620042,0.0,1.0
23,EV,0.0,0.0,0.0,0.0
24,PV,0.0,0.0,0.0,0.0
24,ES,-0.09090909090909098,0.9090909090909091,0.0,1.0
24,EV,0.0,0.0,0.0,0.0
