hour,price_buy,pv_forecast,pv_actual,load_forecast,load_actual,ev_power_floor_dayahead,ev_power_actual,dayahead_net_grid,intraday_net_grid,dayahead_ev_charge,intraday_ev_charge,dayahead_pv_curt,intraday_pv_curt,dayahead_es_energy_end,intraday_es_energy_end
14,98.42,2.03125,1.9631094352020284,2.040398126463699,2.2297878557068964,0.16000000000000003,0.16000000000000003,0.5695045005694351,0.26667840310492125,0.0,0.0,1.521605560636623e-12,2.8110844659855574e-11,1.7999999998826528,1.7999999847457788
15,114.97,1.6437499999999998,1.8591860916129428,2.587822014051521,2.657566168730394,0.16000000000000003,0.16000000000000003,1.5490844130488008,0.7983800091686901,0.0,0.0,8.848815586209877e-14,0.0,1.799999999819057,1.799999943332204
16,127.97,0.9937499999999999,1.0541828352884648,2.577868852459015,2.430104147598292,0.16000000000000003,0.16000000000000003,1.9301727070866732,1.3759217737558493,4.273379604346122e-10,9.414398821744837e-08,6.320626945474381e-10,1.5676304771992173e-07,1.8000000006338988,1.8000001533099095
17,182.85,0.6125,0.6916037014302463,2.597775175644027,2.597206100652797,0.16000000000000003,0.16000000000000003,2.0889217578309474,1.7332456252737443,0.0,0.0,0.0,0.0,1.555472919323333,1.6185722802599014
18,185.3,0.29375000000000007,0.2752120583349412,2.6973067915690856,2.6821565552831497,0.083,0.10900000000000001,1.8533098549807268,1.628205896138611,8.93081070583751e-11,4.7181818511663144e-07,1.0707189624635565e-13,2.2709307508853066e-06,0.7064885276693491,0.7988445005324418
19,192.39,0.0625,0.062481313925220966,1.9209601873536282,1.9902967601669153,0.028999999999999998,0.06199999999999999,1.5295813901271358,1.3589588236754202,5.618850664785052e-10,6.451246567908721e-06,8.634477970273738e-10,1.6504283164744507e-05,0.20000000064079843,0.20002430966900953
20,94.56,0.0,0.0,1.841334894613582,1.8204729607667298,0.0,0.0,2.0039807554054354,1.820455075842086,0.0,0.0,0.0,2.1789356074605418e-07,0.19999999983946476,0.2000061803723727
21,89.51,0.0,0.0,1.3735362997658058,1.322761660460405,0.0,0.0,1.482496519124782,1.3227505617800164,1.600922495973881e-11,0.0,1.834200207113801e-13,0.0,0.19999999995663031,0.2000000367186615
22,78.23,0.0,0.0,1.1645199063231826,1.242437567807469,0.0,0.0,1.253259600855609,1.2424426405192364,6.750509024515727e-12,9.348475700219076e-07,0.0,1.1594983095149069e-06,0.19999999998820975,0.2000030031771829
23,75.01,0.0,0.0,0.8559718969555024,0.7706938658192746,0.0,0.0,0.9197263445389952,0.7706910726574839,2.8075212002909293e-12,0.0,0.0,0.0,0.19999999999674067,0.2000006306363078
24,68.39,0.0,0.0,0.8957845433255245,0.8324464366947738,0.0,0.0,0.9718453692921238,0.8324464984958184,1.014302224193103e-12,8.54782265802912e-08,0.0,1.4951231239728046e-07,0.19999999999889723,0.20000045320002083
