时段,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率,日前利润,实际利润,日前能量费用,日前容量收益,日前里程收益,实际能量费用,实际容量收益,实际里程收益,实际里程,实际能量,实际成本,修正次数
1,-5.4187100666021555e-12,0.9999999999932527,-5.4187100666021555e-12,0.9999999999932527,141.08430073131598,112.87199537938736,-4.211421463763195e-10,23.812799999839328,117.27150073189779,-29.346307728667917,23.812799999839328,118.40550310821595,25.76676570485715,-0.37759016634930415,60.47350083432894,0.0
2,-9.623913535304772e-12,0.9999999999890425,-4.585831957182362e-12,0.9999999999941271,133.83758761010307,132.85882337999118,-5.846527472697649e-10,32.66879999964203,101.16878761104569,-0.844011946000577,32.668799999808144,101.0340353261836,25.79820732886577,-0.013893200757211144,57.21153631804354,0.0
3,-0.05337956348191934,0.9466204365163954,-3.1031000859225257e-10,0.9999999996587015,87.83728386402629,96.59866906237202,-3.0106073803802507,27.199055678338283,63.648835566068264,-1.5663919595380154,28.732799990193538,69.43226103171651,26.626883353166324,-0.027772907084007366,34.62089090759778,0.0
4,-2.718147179442992e-07,2.7192638544526853e-07,-2.0573373962900154e-10,1.6099337725289688e-10,-1.1806781800377683e-05,-9.157852956353915e-09,-1.4669840327453826e-05,2.8630585270761434e-06,0.0,-1.0852920026774216e-08,1.6950670704203006e-09,0.0,4.9116612025245246e-09,-2.0109171811699492e-10,2.0109171811699497e-08,0.0
5,-0.07481793210623422,0.9251820678919064,-0.1666690969674839,0.833330902989291,72.19773869553129,63.96530890242188,-3.9144742077981745,10.55129440419732,65.56091849913214,-4.620027854145539,9.503772282995548,59.08156447357187,20.56241106803788,-0.08830328467403552,24.212251012639715,0.0
6,-0.25807086134244583,0.7231791388972586,-0.3145833327710965,0.6666666671827972,16.997552780267974,11.313644308851416,-12.875155272374624,18.23852002865775,11.634188023984848,-15.865871925287,16.813280013016772,10.366236221121643,17.855581199396518,-0.3180170760731008,41.70679064899118,0.0
7,0.1062500002064744,1.1062499997514914,-0.060416666632380725,0.9395833328968535,99.52194652661923,85.29321023814364,5.054312509821988,19.800724495551957,74.66690952124529,-2.3836965468002704,16.817564492187465,70.85934229275645,29.880301543685043,-0.05010924000000568,37.1428208280858,0.0
8,0.29740384602368286,1.4461538463234924,-0.12135273556057533,1.7586472641323145,143.7869813689172,165.81345918587277,14.971309608832197,32.843195080775864,95.97247667930914,-0.8604332370061591,39.940145594475034,126.73374682840391,53.44168388338053,-0.017092436174139036,34.75031054597346,0.0
9,0.24416666644930035,1.7666666664849229,0.31951573237274844,1.8420157363977707,125.07511687464611,149.05000590396997,14.623141653648599,32.855759996619994,77.59621522437752,23.296637838177116,34.257071859231175,91.4962962065617,57.397556086621556,0.3889904464547857,51.99324359735226,0.0
10,1.0820008810895938,2.815750881127012,0.33663414433755046,3.976634144077433,383.9170007594007,390.123110435719,78.8562242138096,118.4473765654889,186.61339998010217,-37.08821802282736,167.2810919047613,259.9302365537851,96.05699798735591,-0.5088943197424172,81.33194671829422,0.0
