时段,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率,日前利润,实际利润,日前能量费用,日前容量收益,日前里程收益,实际能量费用,实际容量收益,实际里程收益,实际里程,实际能量,实际成本,修正次数
1,-4.8123645720789665e-12,0.9999999999942821,-4.8123645720789665e-12,0.9999999999942821,141.08430073150834,112.87199537955068,-3.7401697454197726e-10,23.81279999986384,117.2715007320185,-29.346307728651023,23.81279999986384,118.40550310833787,25.766765704883678,-0.37759016634908676,60.47350083436834,0.0
2,-5.394870785147081e-12,0.9999999999936837,-1.041187107016386e-13,0.9999999999996886,133.83758761098113,132.8588233810023,-3.2773840019768516e-10,32.668799999793656,101.16878761151521,-0.8440119457330064,32.66879999998983,101.0340353267455,25.798207329009248,-0.01389320075280669,57.21153631830795,0.0
3,-0.053379563500137686,0.9466204364984512,-7.957476631418662e-13,0.9999999999979965,87.83728386127666,96.59866911260411,-3.0106073814077656,27.1990556778227,63.64883556486173,-1.5663919426128774,28.732799999942433,69.43226105527457,26.626883362200708,-0.027772906783916265,34.620890920410574,0.0
4,-0.9999999993704658,3.7465130251486206e-10,-0.5313449033864512,0.4686550963907757,-53.96999996207941,-23.01301086273736,-53.96999996602404,3.944628633918479e-09,0.0,-27.947386641616557,4.934375778879198,0.0,14.297948732959728,-0.5178318814455541,51.78318814455544,0.0
5,-2.4804630061772328e-12,0.9999999999961071,-1.0946703591593708e-11,0.9999999999759361,82.26728072706837,87.22277764187075,-1.2977782448319283e-10,11.404559999955604,70.86272072724255,4.920133507481322,11.404559999725562,70.89808413466386,24.674965243437416,0.09403924899620263,27.979642639554207,0.0
6,0.009375004149971463,0.9906250049348433,0.009375000232023506,0.9906250002694442,41.38794185947622,40.600226004768146,0.46771895704207633,24.983483374456352,15.936739527977794,0.2131636208855473,24.98348325679536,15.403579127087237,26.53227767515371,0.004272672296763826,49.82239068377563,0.0
7,0.21249997761064168,0.9999999798299488,0.21249999905677103,0.9999999991318577,95.50309365932375,103.94514578982194,10.108623934938224,17.89895963897706,67.49551008540847,10.63047785237674,17.898959984461154,75.41570795298404,31.801651297517136,0.22347020921540342,43.13376528484859,0.0
8,0.7312499959479124,1.8800000001959745,0.7312499924695455,1.880000000422922,204.27149808194025,219.76863295736695,36.811124796017914,42.696153604450714,124.76421968147162,40.12230705728731,42.69615360960486,136.95017229047477,57.74979434034796,0.7970263618849286,60.781050232550115,0.0
9,0.9250068117798016,2.4475068139272786,1.1414677508742634,2.6639677508806097,208.41674965160274,252.60620857758838,55.39865795749232,45.517752722693956,107.50033897141648,62.32779744262159,49.543406643777224,140.73500449118956,88.28603614071412,1.040704582444842,101.40960127060549,0.0
10,1.869858162855229,-1.676391832545837,1.906249998607091,-1.6399999983526854,-45.3464130919472,209.340526164891,136.2752629088891,-70.51909882787318,-111.10257717296311,170.74063633848874,-68.98823993070405,107.58812975710633,39.759101905804265,2.3427639453689455,226.44074887295216,0.0
11,1.8149782059224129,-1.7718022930569355,1.3168478529247534,-0.8818478527500979,-9.236450914828538,111.32092240433424,135.14327721298284,-58.78925054872978,-85.5904775790816,84.5314318909948,-29.260135041217566,56.04962555455701,26.995735345893063,1.1352596278672415,57.17961618334766,0.0
12,1.5529535527685978,-2.524546438001821,1.7047643553612288,-2.212736060738761,-118.8080101608281,158.5628170501859,118.25741304332873,-121.17701724179716,-115.88840596235967,141.06938428287907,-106.21026880215138,123.70370156945822,67.95413182237871,1.852519819867092,154.79865843309761,0.0
13,1.6127432379116562,-0.8714932380154102,2.081147836753898,-1.3398978367252947,64.01326941547148,242.9925963859307,147.85630005174065,-32.48396923432736,-51.3590614019418,186.8906587841553,-49.9432447742717,106.0451823760471,42.76567233515901,2.0385106760924443,77.65595731398365,0.0
14,-0.6087499939577179,1.0000000036594774,0.59347222219277,2.202222222232699,17.821862316715563,217.4282294899881,-59.9131744053186,48.993360179290086,28.741676542744077,42.79890349194478,107.89426613384661,66.7350598641967,56.99175024270403,0.43485982007665896,43.60225379532489,0.0
15,-1.9041029752387673,0.09214689886270028,-0.8989835311796376,-0.9027335312959472,-215.91583770922074,-90.93122826892557,-218.91471906320106,1.737286028893988,1.2615953250863468,-88.58812460555264,-17.019632468276264,14.676528804903342,26.634234910175923,-0.7705325267944041,54.68614581710553,0.0
16,0.40377049536890475,1.050020495589027,0.669292077718791,1.3155420762982577,103.14612173763206,184.81095647161376,51.67051029235874,28.31023259387311,23.165378851400206,124.25990347175188,35.469119244323096,25.081933755538792,27.408354921254908,0.9710080758908485,146.762155123009,0.0
17,0.2980784300516986,3.32557842977065,0.45317013828576785,3.4806701364646897,480.4938972837973,587.8444883926982,54.50364093495309,379.7584427464858,46.23181360235847,137.92104184067222,397.46886102733964,52.45458552468628,95.19197431164031,0.7542851618303101,132.0026378582983,0.0
18,0.14687500035519124,2.6131250004147857,0.21741539324950637,1.9553609383278716,145.09941448056804,122.13063526874588,27.21593756581694,94.90723666506477,22.97624024968634,30.7798710348387,71.01761427794281,20.33314995596437,54.378342843293666,0.16610831643194116,56.67048251930157,0.0
19,0.031250000796323125,0.9687500014325927,0.062499999962869646,0.9999999999108432,145.78368222157147,176.71356211235724,6.012187653204606,120.938827678845,18.832666889521857,29.27164157439574,124.84007998886966,22.601840549091847,29.075126774071016,0.15214741709234234,33.523460844034375,0.0
20,-5.033217698039575e-11,0.999999999879333,-0.21402519399435438,0.7859748058462428,51.71564405161749,16.966619295403646,-4.759410655266222e-09,41.04263999504751,10.673004061329395,-23.8814216782494,32.258481005417245,8.589559968235802,21.823069024989334,-0.25255310573444795,41.898027814796315,0.0
21,0.031542636419909155,0.031542673424313494,3.247228110697633e-12,2.438234454217673e-10,3.2911239050344028,4.800287557839452e-09,2.823381385946069,0.46774251908833386,0.0,1.184658944493515e-09,3.6156286133459365e-09,0.0,5.909625118042797e-09,1.323493402405893e-11,9.908319429862326e-09,0.0
22,-4.3181988632439275e-11,0.9999999999317092,-2.1574094016407207e-10,1.124038764904202e-09,55.83481036692332,5.119899854491538e-08,-3.3781269707157248e-09,30.356399997926935,25.478410372374512,-1.2449146280249357e-08,3.412177036293793e-08,2.952637446222681e-08,2.6554405408866477e-08,-1.591351946855344e-10,5.388105553772717e-08,0.0
23,-8.651131797127742e-13,0.9999999999976961,-2.0790768343376564e-11,0.9999999999713027,111.09089107269342,113.46687855959144,-6.489213961025521e-11,29.136239999932872,81.95465107282544,-6.64779964028882,29.136239999163866,90.97843820071638,25.192850789946057,-0.08862551180227729,51.36629033590285,0.0
24,-1.077323424797195e-12,0.9999999999974841,0.0303617059220738,0.9696382940446675,107.88815856814446,97.14422833578152,-7.367814902188016e-11,38.89751999990214,68.990638568316,2.697812605208698,37.716524935368334,56.72989079520448,19.3464188066802,0.039447471928771724,47.38058669698848,0.0
