slot,energy_only_bid_p_mw,energy_only_energy_fee_usd,energy_only_battery_deg_usd,energy_only_profit_usd,full_market_bid_p_mw,full_market_bid_r_mw,full_market_energy_fee_usd,full_market_reg_capacity_usd,full_market_reg_mileage_usd,full_market_battery_deg_usd,full_market_profit_usd,profit_gap_usd
1,0.0,0.0,0.0,0.0,-0.09090909090909098,0.9090909090909091,-38.58060198322187,45.27294545454545,71.45358373329688,58.807582840816906,19.338344363803557,19.338344363803557
2,0.0,0.0,0.0,0.0,-0.23076923076923078,0.7692307692307692,-12.529563806952748,26.742092307692303,65.61075847990676,51.53699799912482,28.286288981521494,28.286288981521494
3,0.0,0.0,0.0,0.0,-0.1666666666666668,0.8333333333333333,-11.717017946437895,34.235,54.80345133619127,30.91011169731685,46.41132169243653,46.41132169243653
4,0.0,0.0,0.0,0.0,0.0,1.0,-1.4309781435675724,43.21728,155.37209699471234,43.70822682356424,153.45017202758052,153.45017202758052
5,0.0,0.0,0.0,0.0,-0.24555906379424353,0.7544409362057565,-10.146703594947247,39.39756959668846,0.0,25.793969507006313,3.4568964947349023,3.4568964947349023
6,0.018749999999999996,1.3781249999999996,0.0,1.3781249999999996,-0.1863646923279734,0.8136353076720266,-1.526243480241172,37.34078353782615,26.172199413218475,45.07955630818928,16.907183162614174,15.529058162614175
7,0.21250000000000002,17.8075,0.0,17.8075,-0.03569437745903298,0.964305622540967,6.0488708456231475,46.5898475696933,72.26202807998548,41.15026450937262,83.75048198592931,65.94298198592931
8,0.34324999999999994,35.98976249999999,0.0,35.98976249999999,0.022469277520047404,1.5384692775200484,12.560348088904789,117.91407007361997,91.39110836111921,35.314379822043996,186.55114670159995,150.56138420159996
9,0.16750000000000084,15.488725000000077,0.0,15.488725000000077,0.279420059262063,2.349420059262063,23.143461627035304,193.22269609627324,235.2414564594789,59.34297049627204,392.2646436865154,376.7759186865153
10,0.7385833333333405,80.35786666666745,0.0,80.35786666666745,0.2877941558923061,2.8687941558923034,-41.010656711987785,204.9702933607907,194.50198695783237,63.785346416400095,294.67627719023517,214.3184105235677
11,1.279333333333337,158.9827533333338,0.0,158.9827533333338,1.0375,3.618500000000002,225.56108885860354,1040.1592465200006,193.41953587968337,125.27366280518986,1333.8662084530977,1174.8834551197638
12,2.033833333333331,255.46980499999972,0.0,255.46980499999972,0.7496962943790725,3.3306962943790683,108.38261753103812,472.4707269529235,26.55756056645652,84.89011915014308,522.5207859002751,267.05098090027536
13,2.23125,324.6915000000001,0.0,324.6915000000001,1.9094739149487636,2.1092239149487653,299.00235880369553,200.1796922512595,58.90058046214895,47.867677376338875,510.21495414076514,185.52345414076507
14,2.03125,301.803125,0.0,301.803125,1.5184254631677185,2.0681754631677247,214.68630461117547,199.86566404189898,33.46490329663389,55.443588805997486,392.5732831437109,90.77015814371089
15,1.6437499999999998,262.14525,0.0,262.14525,0.9296713118813861,0.8669213118813847,145.4458529186525,35.69163588609126,20.378124145441255,4.134675893881426,197.3809370563036,-64.76431294369638
16,0.9937499999999999,179.94825,0.0,179.94825,0.6364055994785016,2.2236555994784997,21.51600648915808,201.41249796508396,0.0,49.31269639290914,173.6158080613329,-6.3324419386671025
17,0.6125,99.078,0.0,99.078,-0.07104017553688968,0.8974598244631106,-9.46864361497902,33.284056611470405,0.0,8.180764345705601,15.634648650785781,-83.44335134921423
18,0.29375000000000007,48.65675000000001,0.0,48.65675000000001,0.1313757622105649,0.9076257622105642,7.203605187255902,39.93959970067953,0.0,11.329219891719902,35.81398499621553,-12.842765003784478
19,0.0625,10.48,0.0,10.48,0.03125,1.03125,20.741831371410512,173.81652749999998,21.242869125565704,33.52346084708647,182.2777671498897,171.79776714988972
20,0.0,0.0,0.0,0.0,0.0,0.0,0.24765111064549622,0.0,2.4951140541918373,19.14270563063458,-16.399940465797247,-16.399940465797247
21,0.0,0.0,0.0,0.0,0.0012477605722207574,0.9987522394277792,5.032159086187298,78.63160400979076,16.912027699581827,40.63339130646299,59.94239948909689,59.94239948909689
22,0.0,0.0,0.0,0.0,0.0,1.0,5.449831843401372,71.81232,68.08216505579995,42.38779565787111,102.95652124133021,102.95652124133021
23,0.0,0.0,0.0,0.0,0.09090909090909088,0.9090909090909092,1.086780646816783,85.76901818181818,46.649830834998134,45.86655335114906,87.63907631248404,87.63907631248404
24,0.0,0.0,0.0,0.0,0.0,1.0,12.472942513844394,86.65104,42.74643998419043,43.45651938602585,98.41390311200897,98.41390311200897
