时段,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率,日前利润,实际利润,日前能量费用,日前容量收益,日前里程收益,实际能量费用,实际容量收益,实际里程收益,实际里程,实际能量,实际成本,修正次数
1,0.0,1.0,0.0,1.0,141.08430073268906,112.87199538057011,0.0,23.8128,117.27150073268905,-29.34630772844479,23.8128,118.4055031090149,25.766765705031013,-0.3775901663464332,60.47350083453284,0.0
2,0.0,1.0,0.0,1.0,133.83758761215424,132.85882338105,0.0,32.668800000000005,101.16878761215423,-0.8440119457269408,32.668800000000005,101.03403532677694,25.798207329017277,-0.013893200752706844,57.21153631832453,0.0
3,-0.1666666666666668,0.8333333333333333,-0.09090909090909098,0.9090909090909091,70.5756408340485,82.68969919349318,-9.400000000000007,23.944,56.0316408340485,-6.5512654023374,26.12072727272727,63.12023732310332,24.206257602049135,-0.11615718798470567,31.752453291630363,0.0
4,0.0,0.0,0.0,0.0,0.0,-2.2762819853795824,0.0,0.0,0.0,-2.2762819853795824,0.0,0.0,10.100494491569181,-0.0421768016560975,16.188362318956994,0.0
5,-0.2857142857142858,0.7142857142857142,-0.17118477076636396,0.828815229233636,43.813771948227426,63.33517924135969,-14.948571428571434,8.146114285714283,50.61622909108458,-4.878505625060117,9.452273010708756,58.76141185571105,20.45098697506371,-0.09324360904166891,24.245742611559333,0.0
6,-0.3145833333333333,0.6666666666666667,-0.2669642857142858,0.7142857142857142,11.84375771776704,18.525377056415568,-15.6945625,16.813280000000002,10.725040217767038,-11.336811310648391,18.014228571428568,11.847959795635392,20.40781279391517,-0.2272361457335817,41.835717938932284,0.0
7,-0.12451923076923077,0.8754807692307691,-0.12092734071772054,0.8790726592822795,68.83783774260394,78.20645660945203,-5.923379807692307,15.670195269230767,59.091022281065484,-3.7164617173527983,15.73448636558715,66.18843196121767,27.910650052802374,-0.07812616601540463,37.08789515152096,0.0
8,-0.1547951680672274,1.3612048319327745,-0.011035016672422446,1.504964983327579,113.45647786199677,131.03163469954347,-7.7923887605042275,30.913941800672298,90.33492482182871,4.611472057037731,34.17883834615731,92.24132429634842,38.89675652613957,0.09160651682633554,34.94263769193638,0.0
9,-0.22632637552467383,1.8436736244753273,-0.1376984297023448,1.932301570297653,101.71176252479209,132.63952341052044,-13.554686630172716,34.28790459854235,80.97854455642246,-2.3833898717431112,35.93617168376763,99.0867415984959,62.15920254848935,-0.039796124089883304,47.479970246398324,0.0
10,0.30598050723786,2.8869805072378596,0.40018254463479563,2.9811825446347937,335.0777124485396,262.35111067369365,22.299859367495237,121.4437220174678,191.33413106357656,-27.758628744519555,125.40642492260723,164.70331449560598,60.86596988012046,-0.3808812945186547,58.585019379285484,0.0
