时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,0.0,0.0,0.0,0.0
1,ES,-0.09090909090909098,0.9090909090909091,-0.09090909090909098,0.9090909090909091
1,EV,0.0,0.0,0.0,0.0
2,PV,0.0,0.0,0.0,0.0
2,ES,-0.2857142857142858,0.7142857142857142,-0.23076923076923078,0.7692307692307692
2,EV,0.0,0.0,0.0,0.0
3,PV,0.0,0.0,0.0,0.0
3,ES,-0.23076923076923078,0.7692307692307692,-0.09090909090909098,0.9090909090909091
3,EV,0.0,0.0,0.0,0.0
4,PV,0.0,0.0,0.0,0.0
4,ES,0.0,1.0,0.0,1.0
4,EV,0.0,0.0,0.0,0.0
5,PV,0.0,0.0,0.0,0.0
5,ES,-0.4434208046637871,0.5565791953362129,-0.2990573162712564,0.7009426837287436
5,EV,0.0,0.0,0.0,0.0
6,PV,0.009374999999999998,0.009374999999999998,0.009374999999999998,0.009374999999999998
6,ES,-0.3333333333333333,0.6666666666666667,-0.19157706469751934,0.8084229353024807
6,EV,0.0,0.0,0.0,0.0
7,PV,0.10625000000000001,0.10625000000000001,0.10625000000000001,0.10625000000000001
7,ES,-0.1666666666666668,0.8333333333333333,-0.1611480679413959,0.8388519320586041
7,EV,0.0,0.0,0.0,0.0
8,PV,0.3656249999999999,0.3656249999999999,0.3656249999999999,0.3656249999999999
8,ES,-0.1588739384254716,0.8411260615745284,-0.15887393842547182,0.8411260615745282
8,EV,-0.18428178405448073,0.3317182159455192,-0.18428178405448073,0.3317182159455192
9,PV,0.61875,0.61875,0.61875,0.61875
9,ES,0.0,1.0,0.0,1.0
9,EV,-0.3392075163398693,0.7307924836601307,-0.3392075163398693,0.7307924836601307
10,PV,0.953125,0.953125,0.953125,0.953125
10,ES,-0.09090909090909098,0.9090909090909091,-0.09090909090909098,0.9090909090909091
10,EV,-0.5801680383772129,1.0008319616227874,-0.5728538225475992,1.008146177452401
11,PV,1.0375,1.0375,1.0375,1.0375
11,ES,0.0,1.0,0.0,1.0
11,EV,0.0,1.5810000000000002,0.0,1.5810000000000002
12,PV,1.21875,1.21875,1.21875,1.21875
12,ES,0.0,1.0,0.0,1.0
12,EV,-0.4683449417584871,1.112655058241513,-0.4386143470595554,1.1423856529404446
13,PV,2.3812499999999996,0.0,2.3812499999999996,0.0
13,ES,0.0,1.0,0.0,1.0
13,EV,-0.4411283134682883,1.1398716865317116,-0.4075270160392368,1.1734729839607632
14,PV,2.03125,0.0,2.03125,0.0
14,ES,0.0,1.0,0.0,1.0
14,EV,-0.5444585237603814,1.0365414762396186,-0.47353933914395385,1.107460660856046
15,PV,1.6437499999999998,0.0,1.6437499999999998,0.0
15,ES,0.0,0.0,0.0,0.0
15,EV,-0.6607986185507579,0.9202013814492421,-0.6148453355859493,0.9661546644140506
16,PV,0.9937499999999999,0.0,0.9937499999999999,0.0
16,ES,0.0,1.0,0.0,1.0
16,EV,-0.39437380760408747,1.1866261923959125,-0.28356745573616104,1.2974325442638386
17,PV,0.6125,0.0,0.6125,0.0
17,ES,0.0,0.0,0.0,0.0
17,EV,-0.8062647058823531,0.774735294117647,-0.7504164818372115,0.8305835181627883
18,PV,0.29375000000000007,0.0,0.29375000000000007,0.0
18,ES,0.0,0.0,0.0,0.0
18,EV,-0.4287710400767971,0.6412289599232028,-0.1720981924323661,0.8979018075676338
19,PV,0.03125,0.03125,0.03125,0.03125
19,ES,0.0,1.0,0.0,1.0
19,EV,0.0,0.0,0.0,0.0
20,PV,0.0,0.0,0.0,0.0
20,ES,0.0,0.0,0.0,0.0
20,EV,0.0,0.0,0.0,0.0
21,PV,0.0,0.0,0.0,0.0
21,ES,-0.23076923076923078,0.7692307692307692,-0.06382792213314514,0.9361720778668549
21,EV,0.0,0.0,0.0,0.0
22,PV,0.0,0.0,0.0,0.0
22,ES,-0.08046667214820191,0.9195333278517981,0.0,1.0
22,EV,0.0,0.0,0.0,0.0
23,PV,0.0,0.0,0.0,0.0
23,ES,-0.09090909090909098,0.9090909090909091,0.09090909090909088,0.9090909090909092
23,EV,0.0,0.0,0.0,0.0
24,PV,0.0,0.0,0.0,0.0
24,ES,-0.1666666666666668,0.8333333333333333,0.0,1.0
24,EV,0.0,0.0,0.0,0.0
