时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,0.0,0.0,0.0,0.0
1,ES,-0.09090909090909098,0.9090909090909091,-0.09090909090909098,0.9090909090909091
1,EV,0.0,0.0,0.0,0.0
2,PV,0.0,0.0,0.0,0.0
2,ES,-0.2857142857142858,0.7142857142857142,-0.23076923076923078,0.7692307692307692
2,EV,0.0,0.0,0.0,0.0
3,PV,0.0,0.0,0.0,0.0
3,ES,-0.23076923076923078,0.7692307692307692,-0.09090909090909098,0.9090909090909091
3,EV,0.0,0.0,0.0,0.0
4,PV,0.0,0.0,0.0,0.0
4,ES,0.0,1.0,0.0,1.0
4,EV,0.0,0.0,0.0,0.0
5,PV,0.0,0.0,0.0,0.0
5,ES,-0.44342080466378697,0.556579195336213,-0.2990573162712564,0.7009426837287436
5,EV,0.0,0.0,0.0,0.0
6,PV,0.009374999999999998,0.009374999999999998,0.009374999999999998,0.009374999999999998
6,ES,-0.3333333333333333,0.6666666666666667,-0.19157706469751934,0.8084229353024807
6,EV,0.0,0.0,0.0,0.0
7,PV,0.10625000000000001,0.10625000000000001,0.10625000000000001,0.10625000000000001
7,ES,-0.1666666666666668,0.8333333333333333,-0.1611480679413959,0.8388519320586041
7,EV,0.0,0.0,0.0,0.0
8,PV,0.3656249999999999,0.3656249999999999,0.3656249999999999,0.3656249999999999
8,ES,-0.15887393842547182,0.8411260615745282,-0.15887393842547182,0.8411260615745282
8,EV,-0.25142857142857145,0.6285714285714284,-0.25142857142857145,0.6285714285714284
9,PV,0.61875,0.61875,0.61875,0.61875
9,ES,0.0,1.0,0.0,1.0
9,EV,-0.40615384615384614,1.3538461538461541,-0.40615384615384614,1.3538461538461541
10,PV,0.953125,0.953125,0.953125,0.953125
10,ES,-0.09090909090909098,0.9090909090909091,-0.09090909090909098,0.9090909090909091
10,EV,-0.7321013273198401,1.9078986726801603,-0.7243355529150974,1.9156644470849034
11,PV,1.0375,1.0375,1.0375,1.0375
11,ES,0.0,1.0,0.0,1.0
11,EV,0.0,2.64,0.0,2.64
12,PV,1.21875,1.21875,1.21875,1.21875
12,ES,0.0,1.0,0.0,1.0
12,EV,-0.4964102564102566,2.1435897435897435,-0.43756716575275645,2.2024328342472437
13,PV,2.3812499999999996,0.0,2.3812499999999996,0.0
13,ES,0.0,1.0,0.0,1.0
13,EV,-0.44693600718690407,2.193063992813096,-0.3630769230769232,2.2769230769230764
14,PV,2.03125,0.0,2.03125,0.0
14,ES,0.0,1.0,0.0,1.0
14,EV,-0.6575824175824175,1.9824175824175825,-0.4964102564102566,2.1435897435897435
15,PV,1.6437499999999998,0.0,1.6437499999999998,0.0
15,ES,0.0,0.0,0.0,0.0
15,EV,-0.9166666666666667,1.7233333333333327,-0.796190476190476,1.8438095238095233
16,PV,0.9937499999999999,0.0,0.9937499999999999,0.0
16,ES,0.0,1.0,0.0,1.0
16,EV,-0.32849304928644885,2.3115069507135506,-0.11628282285225909,2.5237171771477414
17,PV,0.6125,0.0,0.6125,0.0
17,ES,0.0,0.0,0.0,0.0
17,EV,-1.0223529411764705,1.6176470588235292,-0.9925655978990942,1.647434402100906
18,PV,0.29375000000000007,0.0,0.29375000000000007,0.0
18,ES,0.0,0.0,0.0,0.0
18,EV,-0.5866666666666666,1.1733333333333331,-0.09046250954499109,1.669537490455009
19,PV,0.03125,0.03125,0.03125,0.03125
19,ES,0.0,1.0,0.0,1.0
19,EV,0.0,0.0,0.0,0.0
20,PV,0.0,0.0,0.0,0.0
20,ES,0.0,0.0,0.0,0.0
20,EV,0.0,0.0,0.0,0.0
21,PV,0.0,0.0,0.0,0.0
21,ES,-0.23076923076923078,0.7692307692307692,-0.06382792213314514,0.9361720778668549
21,EV,0.0,0.0,0.0,0.0
22,PV,0.0,0.0,0.0,0.0
22,ES,-0.08046667214820191,0.9195333278517981,0.0,1.0
22,EV,0.0,0.0,0.0,0.0
23,PV,0.0,0.0,0.0,0.0
23,ES,-0.09090909090909098,0.9090909090909091,0.09090909090909088,0.9090909090909092
23,EV,0.0,0.0,0.0,0.0
24,PV,0.0,0.0,0.0,0.0
24,ES,-0.1666666666666668,0.8333333333333333,0.0,1.0
24,EV,0.0,0.0,0.0,0.0
