3.532999999999999829e+01,3.180000000000000160e+00
4.175000000000000000e+01,2.509999999999999787e+00
4.392000000000000171e+01,5.509999999999999787e+00
5.307000000000000028e+01,0.000000000000000000e+00
4.664000000000000057e+01,1.330000000000000071e+00
4.910000000000000142e+01,2.560000000000000053e+00
7.789000000000000057e+01,2.259999999999999787e+00
8.357999999999999829e+01,3.100000000000000089e+00
7.260999999999999943e+01,3.069999999999999840e+00
2.921299999999999955e+02,1.780000000000000027e+00
1.441599999999999966e+02,2.600000000000000089e-01
9.645000000000000284e+01,9.300000000000000488e-01
9.820999999999999375e+01,6.300000000000000044e-01
4.184000000000000341e+01,8.199999999999999512e-01
9.204999999999999716e+01,0.000000000000000000e+00
3.768999999999999773e+01,0.000000000000000000e+00
4.471999999999999886e+01,0.000000000000000000e+00
1.712899999999999920e+02,7.199999999999999734e-01
3.350999999999999801e+01,2.600000000000000089e-01
8.001000000000000512e+01,7.099999999999999645e-01
7.298000000000000398e+01,2.930000000000000160e+00
9.587999999999999545e+01,2.069999999999999840e+00
8.806000000000000227e+01,2.470000000000000195e+00
2.896999999999999886e+01,3.930000000000000160e+00
