9.376984126984125312e-02,4.849206349206348909e-02,9.202380952380952162e-02,5.523809523809523891e-02,7.333333333333334758e-02,4.039682539682539625e-02,4.329365079365079388e-02,5.043650793650793218e-02,8.515873015873014207e-02,9.392857142857143071e-02,1.694841269841269593e-01,1.182539682539682502e-01,1.289285714285714479e-01,1.223015873015872862e-01,1.419444444444444287e-01,1.344841269841269837e-01,9.091269841269840335e-02,7.714285714285715190e-02,4.591269841269841195e-02,6.615079365079366835e-02,5.119047619047618902e-02,1.370634920634920817e-01,1.184920634920635096e-01,9.809523809523808258e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.876984126984127060e-02,4.476190476190475970e-02,6.611111111111110661e-02,6.321428571428572285e-02,6.023809523809522254e-02,2.714285714285713871e-02,3.297619047619047838e-02,3.150793650793649869e-02,4.892857142857142544e-02,5.587301587301588685e-02,6.750000000000000444e-02,4.738095238095237777e-02,7.904761904761904712e-02,4.293650793650794634e-02,7.690476190476190632e-02,5.789682539682539097e-02,5.492063492063491842e-02,7.154761904761905433e-02,3.210317460317460569e-02,6.353174603174602253e-02,4.154761904761904850e-02,6.777777777777778401e-02,7.031746031746032022e-02,6.349206349206348854e-02
2.734126984126984336e-02,2.980158730158730118e-02,2.630952380952380695e-02,2.186507936507936511e-02,2.023809523809523905e-02,1.996031746031746296e-02,2.329365079365079000e-02,2.253968253968254357e-02,1.884920634920634816e-02,2.595238095238094900e-02,2.373015873015872981e-02,1.940476190476190729e-02,2.694444444444444448e-02,2.198412698412698443e-02,2.253968253968254357e-02,1.861111111111110952e-02,2.178571428571428673e-02,2.305555555555555483e-02,1.682539682539682668e-02,2.285714285714286059e-02,1.722222222222222557e-02,2.964285714285714440e-02,2.694444444444444101e-02,2.404761904761904684e-02
3.011904761904761821e-02,3.416666666666666463e-02,3.071428571428571827e-02,3.214285714285714662e-02,2.210317460317460028e-02,2.726190476190476497e-02,2.400793650793650591e-02,2.321428571428571161e-02,2.468253968253968436e-02,2.718253968253968658e-02,2.718253968253968658e-02,2.349206349206349118e-02,2.591269841269841154e-02,2.444444444444444572e-02,2.940476190476190230e-02,2.206349206349206282e-02,2.154761904761904809e-02,2.198412698412698790e-02,2.511904761904762071e-02,2.646825396825397414e-02,2.218253968253968214e-02,2.789682539682539208e-02,3.281746031746031467e-02,2.555555555555556052e-02
2.849206349206349562e-02,3.583333333333333509e-02,3.150793650793651257e-02,4.630952380952380737e-02,2.690476190476190355e-02,2.543650793650794120e-02,3.007936507936507728e-02,2.892857142857143196e-02,3.277777777777778068e-02,3.190476190476190799e-02,2.801587301587301140e-02,2.936507936507936484e-02,2.789682539682539902e-02,3.142857142857142377e-02,2.702380952380951593e-02,2.289682539682539805e-02,3.083333333333333412e-02,2.309523809523809576e-02,3.297619047619047838e-02,3.920634920634920306e-02,3.087301587301586811e-02,3.273809523809523975e-02,3.956349206349206449e-02,2.968253968253967839e-02
3.400793650793650785e-02,4.634920634920634830e-02,4.111111111111111216e-02,5.765873015873015234e-02,3.349206349206348271e-02,3.472222222222222376e-02,4.496031746031746434e-02,3.674603174603174177e-02,3.384920634920635107e-02,3.642857142857142821e-02,2.944444444444444670e-02,3.559523809523809645e-02,3.714285714285714413e-02,3.686507936507936456e-02,3.226190476190476247e-02,3.111111111111111022e-02,3.829365079365078944e-02,3.357142857142857151e-02,4.269841269841270076e-02,5.150793650793650258e-02,3.396825396825396692e-02,3.793650793650793496e-02,3.738095238095236889e-02,4.007936507936508269e-02
4.297619047619046645e-02,4.623015873015872551e-02,5.099206349206348438e-02,6.035714285714286614e-02,4.757936507936507547e-02,4.400793650793650286e-02,5.654761904761903407e-02,5.376984126984128004e-02,4.126984126984127588e-02,4.146825396825397358e-02,2.928571428571429339e-02,3.682539682539682363e-02,3.730158730158730090e-02,3.527777777777777596e-02,3.853174603174602114e-02,4.146825396825398052e-02,4.285714285714286448e-02,4.531746031746031883e-02,5.333333333333333676e-02,5.599206349206348882e-02,3.805555555555555775e-02,4.595238095238095288e-02,3.972222222222222127e-02,3.662698412698412592e-02
5.531746031746032077e-02,5.908730158730159804e-02,5.857142857142855902e-02,6.186507936507935901e-02,5.301587301587301626e-02,5.817460317460317054e-02,6.111111111111110911e-02,6.194444444444445474e-02,5.539682539682540957e-02,5.079365079365079361e-02,3.654761904761905100e-02,4.158730158730159637e-02,3.789682539682539403e-02,4.623015873015873245e-02,4.273809523809524169e-02,4.043650793650794412e-02,4.111111111111110522e-02,5.353174603174602753e-02,5.996031746031744991e-02,5.912698412698412509e-02,4.373015873015873717e-02,4.460317460317460292e-02,4.126984126984126894e-02,3.952380952380951662e-02
5.146825396825397553e-02,6.234126984126984322e-02,5.424603174603175038e-02,5.749999999999999556e-02,5.626984126984126144e-02,6.230158730158729535e-02,6.424603174603175926e-02,5.992063492063492980e-02,5.730158730158729785e-02,5.460317460317460486e-02,4.730158730158728897e-02,4.805555555555555969e-02,3.980158730158729619e-02,5.293650793650792746e-02,4.599206349206348687e-02,4.115079365079366003e-02,5.095238095238095039e-02,5.607142857142856374e-02,6.194444444444443393e-02,6.464285714285715467e-02,5.507936507936507520e-02,4.769841269841269826e-02,4.646825396825397109e-02,4.444444444444444614e-02
